LAT;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
46500;Head of State;Aigars Kalvïtis;2003;2050;2050;SC;Popular Figurehead;High;M46500;x
46501;Head of Government;Aigars Kalvïtis;2003;2050;2050;SC;Silent Workhorse;High;M46500;x
46502;Foreign Minister;Artis Pabriks;2003;2050;2050;SC;Great Compromiser;High;M46502;x
46503;Minister of Armament;Einars Repse;2003;2050;2050;SC;Resource Industrialist;High;M46503;x
46504;Minister of Security;Dagnija Stake;2003;2050;2050;SC;Crime Fighter;High;M46504;x
46505;Chief of Staff;Eriks Jekabsons;2003;2050;2050;SC;School of Fire Support;High;M46506;x
46506;Chief of Staff;Eriks Jekabsons;2003;2050;2050;SC;School of Defence;High;M46506;x
46507;Chief of Army;Einars Repse;2003;2050;2050;SC;Guns and Butter Doctrine;High;M46503;x
46508;Chief of Navy;Ainars Slesers;2003;2050;2050;SC;Open Seas Doctrine;High;M46508;x
46509;Chief of Navy;Ainars Slesers;2003;2050;2050;SC;Power Projection Doctrine;High;M46508;x
;Replacements;;;;;;;x
