LEB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
47001;Head of State;Emile Lahoud;2003;2050;2050;SC;Weary Stiffneck;High;M47001;x
47002;Head of Government;Rafiq al-Hariri;2003;2050;2050;ML;Corporate Suit;High;M47002;x
47003;Foreign Minister;Jean Obeid;2003;2050;2050;ML;Iron Fisted Brute;High;M47003;x
47004;Minister of Armament;Mahmoud Hammoud;2003;2050;2050;ML;Infantry Proponent;High;M47004;x
47005;Minister of Security;Elias Murr;2003;2050;2050;ML;Crime Fighter;High;M47005;x
47006;Head of Military Intelligence;Michel Samaha;2003;2050;2050;SC;Logistics Specialist;High;M47006;x
47007;Chief of Staff;Michel Sulayman;2003;2050;2050;ML;School of Psychology;High;Unknown;x
47008;Chief of Army;Fady Abu-Shakra;2003;2050;2050;ML;Static Defence Doctrine;High;Unknown;x
47009;Chief of Navy;George Maalouf;2003;2050;2050;ML;Indirect Approach Doctrine;High;Unknown;x
47010;Chief of Air Force;George Shaaban;2003;2050;2050;SC;vertical envelopment doctrine;High;Unknown;x
;Replacements;;;;;;;x
