LIB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
47501;Head of State;Charles Taylor;2003;2050;2050;PA;Ruthless Powermonger;High;Ctaylor;x
47502;Head of Government;Charles Taylor;2003;2050;2050;PA;Old General;High;Ctaylor;x
47503;Foreign Minister;Lewis Brown;2003;2050;2050;PA;iron fisted brute;High;Lbrown;x
47504;Minister of Armament;Daniel Chea;2003;2050;2050;PA;Corrupt Kleptocrat;High;Dchea;x
47505;Minister of Security;Ambullai Johnson;2003;2050;2050;PA;Man of the People;High;Ajohnsonlib;x
47506;Head of Military Intelligence;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
47507;Chief of Staff;Kpenkpah Konah;2003;2050;2050;NA;School of Mass Combat;High;Unknown;x
47508;Chief of Army;John Tarnue;2003;2050;2050;NA;Elastic Defence Doctrine;High;Unknown;x
47509;Chief of Air Force;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
47510;Chief of Navy;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
;Replacements;;;;;;;x
47511;Head of State;Moses Blah;2003;2050;2050;PA;Benevolent Gentleman;High;Mblah;x
47512;Head of Government;Moses Blah;2003;2050;2050;PA;Happy Amateur;High;Mblah;x
47513;Head of State;Gyude Bryant;2003;2050;2050;ML;Autocratic Charmer;High;Gbryant;x
47514;Head of Government;Gyude Bryant;2003;2050;2050;ML;Naive Optimist;High;Gbryant;x
47515;Head of State;Ellen Johnson-Sirleaf;2003;2050;2050;ML;Popular Figurehead;High;Ejsirleaf;x
47516;Head of Government;Ellen Johnson-Sirleaf;2003;2050;2050;ML;Silent Workhorse;High;Ejsirleaf;x
47517;Foreign Minister;Olubanke King Akerele;2003;2050;2050;ML;Ideological Crusader;High;Okakerele;x
47518;Foreign Minister;Lawrence Bropleh;2003;2050;2050;ML;Apologetic Clerk;High;Lbropleh;x
47519;Foreign Minister;George Wallace;2003;2050;2050;ML;Great Compromiser;High;Gwallace;x
47520;Foreign Minister;Thomas Nimely;2003;2050;2050;SL;Biased Intellectual;High;Tnimely;x
47521;Minister of Armament;Brownie Samukai;2003;2050;2050;ML;Military Entrepreneur;High;Bsamukai;x
