LIT;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
48501;Head of State;Rolandas Paksas;2003;2050;2050;ML;Popular Figurehead;Medium;M48501;x
48502;Minister of Security;Algirdas Mykolas Brazauskas;2003;2050;2050;SC;Man of the People;High;M48502;x
48503;Head of State;Antanas Valionis;2003;2050;2050;SC;Benevolent Gentleman;High;M48503;x
48504;Minister of Armament;Linas Linkevièius;2003;2050;2050;SC;Military Entrepreneur;High;M48504;x
48505;Minister of Security;Vilija Blinkeviciute;2003;2050;2050;SC;Man of the People;High;M48505;x
48506;Head of Military Intelligence;Remigijus Motuzas;2003;2050;2050;SC;Industrial Specialist;High;M48506;x
48507;Chief of Staff;Valdas Tutkus;2003;2050;2050;SC;School of Psychology;High;M48507;x
48508;Chief of Army;Jonas Žukas;2003;2050;2050;SC;Guns and Butter Doctrine;High;M48508;x
48509;Chief of Navy;Kêstutis Macijauskas;2003;2050;2050;SC;Indirect Approach Doctrine;High;M48509;x
48510;Chief of Air Force;Ovidijus Eitminavièius;2003;2050;2050;SC;Naval Aviation Doctrine;High;M48510;x
;Replacements;;;;;;;x
48511;Head of State;Arturas Paulauskas;2003;2050;2050;SC;Benevolent Gentleman;Medium;M48511;x
48512;Head of State;Valdas Adamkus;2003;2050;2050;SC;Benevolent Gentleman;High;M48512;x
48513;Head of State;Kazimiera Prunskiene;2003;2050;2050;SL;Die-hard Reformer;Medium;M48513;x
48514;Head of Government;Gediminas Vagnorius;2003;2050;2050;ML;Backroom Backstabber;Medium;M48514;x
48515;Head of Government;Gediminas Kirkilas;2003;2050;2050;SC;Silent Workhorse;High;M48515;x
48516;Foreign Minister;Petras Vaitiekunas;2003;2050;2050;SC;Biased Intellectual;Medium;M48516;x
48517;Minister of Armament;Algirdas Butkevicius;2003;2050;2050;SC;Resource Industrialist;Medium;M48517;x
48518;Minister of Armament;Virgilijus Bulovas;2003;2050;2050;SC;Military Entrepreneur;High;M48518;x
48519;Minister of Armament;Vytas Navickas;2003;2050;2050;SC;Resource Industrialist;Medium;M48519;x
48520;Minister of Armament;Rimantas Sadzius;2003;2050;2050;SC;Theoretical Scientist;Medium;M48520;x
48521;Minister of Armament;Valdemar Tomaszewski;2003;2050;2050;PA;laissez-faire capitalist;Medium;M48521;x
48522;Minister of Armament;Kestutis Dauksys;2003;2050;2050;PA;Theoretical Scientist;Medium;M48522;x
48523;Minister of Armament;Valentinas Stundys;2003;2050;2050;PA;Tank Proponent;Medium;M48523;x
48524;Minister of Armament;Valentinas Mazuronis;2003;2050;2050;ML;Resource Industrialist;Medium;M48524;x
48525;Minister of Security;Regimantas Ciupaila;2003;2050;2050;SC;Silent Lawyer;Medium;M48525;x
48526;Minister of Security;Klemas Inta;2003;2050;2050;PA;Crime Fighter;Medium;M48526;x
48527;Chief of Army;Vygantas Bukauskas;2003;2050;2050;SC;Static Defence Doctrine;Medium;M48527;x
48528;Chief of Army;Arvydas Pocius;2003;2050;2050;PA;Static Defence Doctrine;Medium;M48528;x
48529;Chief of Army;Valdas Tutkus;2003;2050;2050;SC;Guns and Butter Doctrine;High;M48507;x
48530;Chief of Army;Arvydas Pocius;2003;2050;2050;SC;Armoured Spearhead Doctrine;Medium;M48528;x
48531;Chief of Navy;Artûras Stankaitis;2003;2050;2050;SC;Base Control Doctrine;Medium;M48531;x
48532;Chief of Air;Edvardas Mazeikis;2003;2050;2050;SL;Air Superiority Doctrine;High;M48532;x
48533;Chief of Air Force;Sigitas Gudeika;2003;2050;2050;SC;Naval Aviation Doctrine;High;M48533;x
48534;Chief of Air Force;Vidmantas Raklevièius;2003;2050;2050;SC;Air Superiority Doctrine;Medium;M48534;x
