LUX;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
49001;Head of State;Grand Duke Henri;2003;2050;2050;SC;Popular Figurehead;High;M49001;x
49002;Head of Government;Jean-Claude Juncker;2003;2050;2050;SC;Silent Workhorse;High;M49002;x
49003;Foreign Minister;Lydie Polfer;2003;2050;2050;SC;Great Compromiser;High;M49003;x
49004;Minister of Armament;Jean-Claude Juncker;2003;2050;2050;SC;Administrative Genius;High;M49002;x
49005;Minister of Security;Luc Frieden;2003;2050;2050;SC;Silent Lawyer;High;M49005;x
49006;Head of Military Intelligence;Jean-Claude Juncker;2003;2050;2050;SC;Political Specialist;High;M49002;x
49007;Chief of Staff;Nico Ries;2003;2050;2050;SC;School of Defence;High;M49007;x
49008;Chief of Army;Nico Ries;2003;2050;2050;SC;Guns and Butter Doctrine;High;M49007;x
49009;Chief of Navy;None;2003;2050;2050;SC;Undistinguished Suit;High;M49009;x
49010;Chief of Air Force;None;2003;2050;2050;SC;Undistinguished Suit;High;M49010;x
;Replacements;;;;;;;x
