MAD;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
49501;Head of State;Marc Ravalomanana;2003;2050;2050;SL;Weary Stiffneck;High;Mravalomanana;x
49502;Head of Government;Jacques Sylla;2003;2050;2050;SL;Silent Workhorse;High;Jsylla;x
49503;Foreign Minister;Marcel Ranjeva;2003;2050;2050;SL;Biased Intellectual;High;Mranjeva;x
49504;Minister of Armament;Cecile Manorohanta;2003;2050;2050;SL;Corrupt Kleptocrat;High;Cmanorohanta;x
49505;Minister of Security;Undistinguished Suit;2003;2050;2050;SL;Undistinguished Suit;High;Unknown;x
49506;Head of Military Intelligence;Undistinguished Suit;2003;2050;2050;SL;Undistinguished Suit;High;Unknown;x
49507;Chief of Staff;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
49508;Chief of Army;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
49509;Chief of Air Force;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
49510;Chief of Navy;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
;Replacements;;;;;;;x
49511;Head of Government;Charles Rabemananjara;2003;2050;2050;SL;Old General;High;Crabemananjara;x
