MEX;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
53501;Head of State;Vicente Fox Quesada;2003;2050;2050;ML;Barking Buffoon;High;M53501;x 
53502;Head of Government;Vicente Fox Quesada;2003;2050;2050;ML;Political Protege;High;M53501;x 
53503;Foreign Minister;Ernesto Derbez;2003;2050;2050;ML;Great Compromiser;High;M53503;x 
53504;Minister of Armament;Francisco Gil Díaz;2003;2050;2050;ML;Resource Industrialist;High;M53504;x 
53505;Minister of Security;Alejandro Gertz;2003;2050;2050;ML;Crime Fighter;High;M53505;x 
53506;Head of Military Intelligence;Santiago Creel;2003;2050;2050;ML;Dismal Enigma;High;M53506;x 
53507;Chief of Staff;Miguel Godínez;2003;2050;2050;ML;School of Psychology;High;M53507;x 
53508;Chief of Army;José Luis Quilo Ayuso;2003;2050;2050;ML;Guns and Butter Doctrine;High;Unknown;x 
53509;Chief of Navy;Alberto Castro Rosas;2003;2050;2050;ML;Open Seas Doctrine;High;M53509;x 
53510;Chief of Air Force;Astra Ken Pennie;2003;2050;2050;ML;Air Superiority Doctrine;High;Unknown;x
;Replacements;;;;;;;x
