MLY;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
77401;Head of State;Saiyid ibni al-Marhum;2003;2050;2050;ML;Insignificant Layman;High;M77401;x
77402;Head of Government;Mahathir bin Mohamad;2003;2050;2050;ML;Corporate Suit;High;M77402;x
77403;Minister of Armament;Undistinguished suit;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
77404;Foreign Minister;Undistinguished suit;2003;2050;2050;Sc;Undistinguished suit;High;Unknown;x
77405;Chief of Navy;Undistinguished suit;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
77406;Chief of Army;Undistinguished suit;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
77407;Chief of Air Force;Undistinguished suit;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
77408;Head of Military Intelligence;Undistinguished suit;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
77409;Chief of Staff;Undistinguished suit;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
77410;Minister of Security;Undistinguished suit;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
;Replacements;;;;;;;x
