MOR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
40000;Head of State;Mohammed VI;2003;2050;2050;SC;Popular Figurehead;High;M40000;x
40001;Head of Government;Driss Jettou;2003;2050;2050;SC;Silent Workhorse;High;M40001;x
40002;Foreign Minister;Mohamed Benaissa;2003;2050;2050;SC;Great Compromiser;High;M40002;x
40003;Minister of Armament;Salaheddine Mezouar;2003;2050;2050;SC;Resource Industrialist;High;M40003;x
40004;Minister of Security;Mustapha Sahel;2003;2050;2050;SC;Crime Fighter;High;M40004;x
40005;Chief of Staff;Mohamed Nabil Benabdallah;2003;2050;2050;SC;School of Fire Support;High;M40005;x
40006;Chief of Staff;Abdessadek Rabiaa;2003;2050;2050;SC;School of Defence;High;M40006;x
40007;Chief of Army;Mohammed VI;2003;2050;2050;SC;Guns and Butter Doctrine;High;M40000;x
40008;Chief of Navy;Mohammed VI;2003;2050;2050;SC;Open Seas Doctrine;High;M40000;x
40009;Chief of Air Force;Karim Ghellab;2003;2050;2050;SC;Naval Aviation Doctrine;High;M40009;x
;Replacements;;;;;;;x
