MOZ;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
56001;Head of State;Joaquim Chissano;2003;2050;2050;SD;Pig-headed Isolationist;High;Jchissano;x
56002;Head of Government;Joaquim Chissano;2003;2050;2050;SD;Flamboyant Tough Guy;High;Jchissano;x
56003;Foreign Minister;Oldemiro Baloi;2003;2050;2050;SD;Great Compromiser;High;Obaloi;x
56004;Minister of Armament;Tobias Dai;2003;2050;2050;SD;Corrupt Kleptocrat;High;Tdai;x
56005;Minister of Security;Jose Pacheco;2003;2050;2050;SD;Compassionate Gentleman;High;Jpacheco;x
56006;Head of Military Intelligence;Venancio Massingue;2003;2050;2050;NA;Political Specialist;High;Vmassingue;x
56007;Chief of Staff;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
56008;Chief of Army;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
56009;Chief of Air Force;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
56010;Chief of Navy;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
;Replacements;;;;;;;x
56011;Head of State;Armando Guebuza;2005;2050;2050;SD;Benevolent Gentleman;High;Aguebuza;x
56012;Head of Government;Armando Guebuza;2005;2050;2050;SD;Silent Workhorse;High;Aguebuza;x
56013;Head of State;Afonso Dhlakama;2003;2050;2050;SC;Stern Imperialist;High;Adhlakama;x
56014;Head of Government;Afonso Dhlakama;2003;2050;2050;SC;Flamboyant Tough Guy;High;Adhlakama;x
