MTN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
55001;Head of State;Filip Vujanovic;2003;2050;2050;SL;Benevolent Gentleman;high;Fvujanovic;x
55002;Head of Government;Milo Djukanovic;2003;2050;2050;SD;Backroom Backstabber;high;Mdjukanovic;x
55003;Foreign Minister;Dragisa Burzan;2003;2050;2050;SL;Apologetic Clerk;high;Dburzan;x
55004;Minister of Armament;Joint Ministry with Serbia;2003;2050;2050;NA;Undistinguished Suit;high;mtndefence;x
55005;Minister of Security;Milan Filipovic;2003;2050;2050;SL;Crime Fighter;high;Mfilipovic;x
55006;Head of Military Intelligence;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;high;Unknown;x
55007;Chief of Staff;Joint Army with Serbia;2003;2050;2050;NA;Undistinguished Suit;high;mtnarmy;x
55008;Chief of Army;Joint Army with Serbia;2003;2050;2050;NA;Undistinguished Suit;high;mtnarmy;x
55009;Chief of Navy;Joint Army with Serbia;2003;2050;2050;NA;Undistinguished Suit;high;mtnarmy;x
55010;Chief of Air Force;Joint Army with Serbia;2003;2050;2050;NA;Undistinguished Suit;high;mtnarmy;x
;Replacements;;;;;;;x
55011;Head of State;Milo Djukanovic;2003;2050;2050;SD;Ruthless Powermonger;high;Mdjukanovic;x
55012;Head of Government;Zeljko Sturanovic;2006;2050;2050;SL;Silent Workhorse;high;Zsturanovic;x
55013;Foreign Minister;Miodrag Vlahovic;2004;2050;2050;SL;Great Compromiser;high;Mvlahovic;x
55014;Foreign Minister;Milan Rocen;2004;2050;2050;SL;Great Compromiser;high;Mrocen;x
55015;Minister of Security;Dragan Djurovic;2003;2050;2050;SL;Silent Lawyer;high;Ddjurovic;x
55016;Minister of Security;Jusuf Kalamperovic;2003;2050;2050;SL;Silent Lawyer;high;Jkalamperovic;x
55017;Minister of Armament;Bozo Vucinic;2006;2050;2050;SL;Resource Industrialist;high;Bvucinic;x
55018;Chief of Staff;Jovan Lakcevic;2006;2050;2050;NA;School of Fire Support;high;Jlakcevic;x
55019;Chief of Staff;Dragan Milosavljevic;2006;2050;2050;NA;School of Fire Support;high;Dmilosavljevic;x
55020;Chief of Staff;Dragan Samardzic;2010;2050;2050;NA;School of Psychology;high;Dsamardzic;x
55021;Chief of Navy;Dragan Samardzic;2006;2050;2050;NA;Base Control Doctrine;high;Dsamardzic;x
55022;Chief of Navy;Rajko Bulatovic;2006;2050;2050;NA;Indirect Approach Doctrine;high;Rbulatovic;x
55023;Chief of Air Force;Vladislav Vlahovic;2006;2050;2050;NA;Air Superiority Doctrine;high;Vvlahovic;x
55024;Foreign Minister;Svetozar Marovic;2006;2050;2050;SL;Biased Intellectual;high;Smarovic;x
55025;Minister of Security;Miodrag Vukovic;2009;2050;2050;SL;Crime Fighter;high;Mvukovic;x
55026;Foreign Minister;Slobodan Backovic;2003;2050;2050;SL;Biased Intellectual;high;Sbackovic;x
55027;Head of State;Momir Bulatovic;2003;2050;2050;SD;Ruthless Powermonger;high;Mbulatovic;x
55028;Head of Government;Momir Bulatovic;2003;2050;2050;SD;Political Protege;high;Mbulatovic;x
55029;Foreign Minister;Nebojsa Kaludjerovic;2010;2050;2050;SL;Great Compromiser;high;Nkaludjerovic;x
55030;Head of State;Andrija Mandic;2003;2050;2050;SC;Pig-headed Isolationist;high;Amandic;x
55031;Head of Government;Andrija Mandic;2003;2050;2050;SC;Flamboyant Tough Guy;high;Amandic;x
55032;Head of State;Nebojsa Medojevic;2008;2050;2050;SL;Benevolent Gentleman;high;Nmedojevic;x
55033;Head of State;Srdjan Milic;2008;2050;2050;SD;Benevolent Gentleman;high;Smilic;x
55034;Head of State;King Nikola II;2003;2050;2050;SL;Popular Figurehead;high;Npnjegos;x
55035;Head of State;King Nikola II;2003;2050;2050;ML;Popular Figurehead;high;Npnjegos;x
55036;Chief of Army;Dragan Milosavljevic;2006;2050;2050;NA;Elastic Defence Doctrine;high;Dmilosavljevic;x
