NAM;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
56501;Head of State;Sam Nujoma;2003;2050;2050;SL;Die-hard Reformer;High;Snujoma;x
56502;Head of Government;Sam Nujoma;2003;2050;2050;SL;Flamboyant Tough Guy;High;Snujoma;x
56503;Foreign Minister;Marco Hausiku;2003;2050;2050;SL;Great Compromiser;High;Mhausiku;x
56504;Minister of Armament;Charles Namoloh;2003;2050;2050;SL;Infantry Proponent;High;Cnamoloh;x
56505;Minister of Security;Pendukeni Iivula-Ithana;2003;2050;2050;SL;Crime Fighter;High;Piithana;x
56506;Head of Military Intelligence;Nickey Iyambo;2003;2050;2050;NA;Industrial Specialist;High;Niyambo;x
56507;Chief of Staff;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
56508;Chief of Army;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
56509;Chief of Air Force;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
56510;Chief of Navy;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
;Replacements;;;;;;;x
56511;Head of State;Hifikepunye Pohamba;2005;2050;2050;SL;Weary Stiffneck;High;Hpohamba;x
56512;Head of Government;Hifikepunye Pohamba;2005;2050;2050;SL;Naive Optimist;High;Hpohamba;x
56513;Foreign Minister;Libertina Appolus-Amathila;2003;2050;2050;SL;Biased Intellectual;High;Laamathila;x
