NEP;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
267301;Head of State;King Gyanendra;2003;2050;2050;SC;Pig-headed Isolationist;High;M267301;x
267302;Head of Government;Lokendra Bahadur Chand;2003;2050;2050;SC;Backroom Backstabber;High;Lchand;x
267303;Minister of Armament;Undistinguished suit;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
267304;Foreign Minister;Narendra Bikram Shah;2003;2050;2050;SC;Apologetic Clerk;High;Nshah;x
267305;Chief of Navy;Undistinguished suit;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
267306;Chief of Army;Undistinguished suit;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
267307;Chief of Air Force;Undistinguished suit;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
267308;Head of Military Intelligence;Undistinguished suit;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
267309;Chief of Staff;Undistinguished suit;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
267310;Minister of Security;Undistinguished suit;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
;Replacements;;;;;;;x
267311;Head of State;Pushpa Kamal Dahal;2003;2050;2050;ST;Powerhungry Demagogue;High;Prachanda;x
267312;Head of Government;Pushpa Kamal Dahal;2003;2050;2050;ST;Flamboyant Tough Guy;High;Prachanda;x
267313;Foreign Minister;Baburam Bhattarai;2003;2050;2050;ST;Ideological Crusader;High;Bbhatarai;x
267314;Foreign Minister;Krishna Bahadur Mahara;2003;2050;2050;ST;Great Compromiser;High;Kmahara;x
267315;Minister of Security;Mohan Pokharel Vaidya;2003;2050;2050;ST;Prince of Terror;High;Mvaidya;x
267316;Minister of Armament;Ram Bahadur Thapa;2003;2050;2050;ST;Corrupt Kleptocrat;High;Rthapa;x
267317;Head of Government;Surya Bahadur Thapa;2003;2050;2050;SC;Political Protege;High;Sthapa;x
267318;Head of Government;Sher Bahadur Deuba;2003;2050;2050;SL;Silent Workhorse;High;Sdeuba;x
267319;Head of Government;Girija Prasad Koirala;2003;2050;2050;SL;Flamboyant Tough Guy;High;Gkoirala;x
267320;Foreign Minister;Bhekh Thapa;2003;2050;2050;SC;Ideological Crusader;High;Bthapa;x
267321;Foreign Minister;K. P. Sharma Oli;2004;2050;2050;SL;Great Compromiser;High;Soli;x
267322;Foreign Minister;Ramesh Nath Pandey;2005;2050;2050;SL;Biased Intellectual;High;Rpandey;x
