NZL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
58501;Head of State;Queen Elizabeth II;2003;2050;2050;ML;Popular Figurehead;High;M87000;x
58502;Head of Government;Helen Clark;2003;2050;2050;SL;Backroom Backstabber;High;helenclark;x
58503;Foreign Minister;Phil Goff;2003;2050;2050;SL;Apologetic Clerk;High;philgoff;x
58504;Minister of Armament;Michael Cullen;2003;2050;2050;SL;Corrupt Kleptocrat;High;michaelcullen;x
58505;Minister of Security;George Hawkins;2003;2050;2050;SL;Silent Lawyer;High;georgehawkins;x
58506;Head of Military Intelligence;Richard Woods;2003;2050;2050;ML;Political Specialist;High;richardwoods;x
58507;Chief of Staff;Jerry Mateparae;2003;2050;2050;ML;School of Psychology;High;jerrymateparae;x
58508;Chief of Army;Jerry Mateparae;2003;2050;2050;ML;Decisive Battle Doctrine;High;jerrymateparae;x
58509;Chief of Navy;David Ian Ledson;2003;2050;2050;ML;Open Seas Doctrine;High;davidianledson;x
58510;Chief of Air Force;John Hamilton;2003;2050;2050;ML;Vertical Envelopment Doctrine;High;johnhamilton;x
;Replacements;;;;;;;x
58511;Minister of Security;Rob Robinson;2003;2050;2050;ML;Man of the People;High;robrobinson;x
58512;Minister of Security;Richard Woods;2003;2050;2050;ML;Compassionate Gentleman;High;richardwoods;x
58513;Minister of Security;Brian Tamaki;2003;2050;2050;PA;Man of the People;High;briantamaki;x
58514;Minister of Security;Sid Wilson;2003;2050;2050;FA;Prince of Terror;High;sidwilson;x
58515;Head of Military Intelligence;Mark Burton;2003;2050;2050;SL;Technical Specialist;High;markburton;x
58516;Foreign Minister;Tim Barnett;2003;2050;2050;SL;Ideological Crusader;High;timbarnett;x
58517;Foreign Minister;Lockwood Smith;2003;2050;2050;ML;Great Compromiser;High;lockwoodsmith;x
58518;Foreign Minister;Brian Tamaki;2003;2050;2050;PA;Ideological Crusader;High;briantamaki;x
58519;Foreign Minister;Dail Jones;2003;2050;2050;SC;Biased Intellectual;High;dailjones;x
58520;Foreign Minister;Kyle Chapman;2003;2050;2050;FA;Iron Fisted Brute;High;kylechapman;x
58521;Foreign Minister;Keith Locke;2003;2050;2050;LWR;Ideological Crusader;High;keithlocke;x
58522;Head of Government;Don Brash;2003;2050;2050;ML;Corporate Suit;High;donbrash;x
58523;Head of Government;Winston Peters;2003;2050;2050;SC;Backroom Backstabber;High;winstonpeters;x
58524;Head of Government;Hannah Tamaki;2003;2050;2050;PA;Political Protege;High;hannahtamaki;x
58525;Head of Government;Sid Wilson;2003;2050;2050;FA;Ambitious Union Boss;High;sidwilson;x
58526;Head of Government;Jeanette Fitzsimmons;2003;2050;2050;LWR;Naive Optimist;High;jeanettefitzsimmons;x
58527;Head of State;Brian Tamaki;2003;2050;2050;PA;Barking Buffoon;High;briantamaki;x
58528;Head of State;Kyle Chapman;2003;2050;2050;FA;Powerhungry Demagogue;High;kylechapman;x
58529;Head of State;Rod Donald;2003;2050;2050;LE;Die-hard Reformer;High;roddonald;x
58530;Minister of Armament;John Key;2003;2050;2050;ML;laissez-faire capitalist;High;johnkey;x
58531;Minister of Armament;Ron Mark;2003;2050;2050;SC;Military Entrepreneur;High;ronmark;x
58532;Minister of Armament;Brian Tamaki;2003;2050;2050;PA;Corrupt Kleptocrat;High;briantamaki;x
58533;Minister of Armament;Sid Wilson;2003;2050;2050;FA;Tank Proponent;High;sidwilson;x
58534;Minister of Armament;Rod Donald;2003;2050;2050;LWR;Theoretical Scientist;High;roddonald;x
58535;Chief of Staff;John Carter;2003;2050;2050;ML;School of Mass Combat;High;johncarter;x
58536;Chief of Staff;Ron Mark;2003;2050;2050;SC;School of Fire Support;High;ronmark;x
58537;Chief of Staff;Brian Tamaki;2003;2050;2050;PA;School of Mass Combat;High;briantamaki;x
58538;Chief of Staff;Sid Wilson;2003;2050;2050;FA;School of Psychology;High;sidwilson;x
58539;Chief of Staff;Nandor Tanczos;2003;2050;2050;LWR;School of Defence;High;nandortanczos;x
58540;Chief of Army;Louis Gardiner;2005;2050;2050;ML;Guns and Butter Doctrine;High;louisgardiner;x
58541;Chief of Army;Sid Wilson;2003;2050;2050;FA;Armoured Spearhead Doctrine;High;sidwilson;x
58542;Chief of Army;Nandor Tanczos;2003;2050;2050;LWR;Static Defence Doctrine;High;nandortanczos;x
58543;Chief of Air Force;Bruce Reid Ferguson;2003;2050;2050;ML;Air Superiority Doctrine;High;bruceferguson;x
58544;Chief of Air Force;Richard Newlands;2003;2050;2050;ML;Naval Aviation Doctrine;High;richardnewlands;x
58545;Chief of Air Force;Sid Wilson;2003;2050;2050;FA;Carpet Bombing Doctrine;High;sidwilson;x
58546;Chief of Navy;Sid Wilson;2003;2050;2050;FA;Decisive Naval Battle Doctrine;High;sidwilson;x
