OMN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
17301;Head of State;Qaboos bin Said;2003;2050;2050;SC;Weary Stiffneck;High;M17301;x
17302;Head of Government;Qaboos bin Said;2003;2050;2050;SC;Backroom Backstabber;High;M17301;x
17303;Minister of Armament;Undistinguished suit;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
17304;Foreign Minister;Undistinguished suit;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
17305;Chief of Navy;Undistinguished suit;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
17306;Chief of Army;Undistinguished suit;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
17307;Chief of Air Force;Undistinguished suit;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
17308;Head of Military Intelligence;Undistinguished suit;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
17309;Chief of Staff;Undistinguished suit;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
17310;Minister of Security;Undistinguished suit;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
;Replacements;;;;;;;x
