PAK;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
62501;Head of State;Pervez Musharraf;2003;2050;2050;NA;Resigned Generalissimo;High;M62501;x
62502;Head of Government;Zafarullah Khan Jamali;2003;2050;2050;SC;Political Protege;High;M62502;x
62503;Foreign Minister;Khurshid Kasuri;2003;2050;2050;SC;Great Compromiser;High;M62503;x
62504;Minister of Armament;Hamid Nawaz Khan;2003;2050;2050;SC;Military Entrepreneur;High;Hnkhan;x
62505;Minister of Security;Khalid Ranjha;2003;2050;2050;SC;Crime Fighter;High;M62505;x
62506;Head of Military Intelligence;Ehsan ul Haq;2003;2050;2050;PA;Logistics Specialist;High;M62506;x
62507;Chief of Army;Muhammad Aziz Khan;2003;2050;2050;PA;Elastic Defence Doctrine;High;M62507;x
62508;Chief of Army;Gen. Pervez Musharraf;2003;2050;2050;PA;Decisive Battle Doctrine;High;Pmusharraf;x
62509;Chief of Navy;Shahid Karimullah;2003;2050;2050;PA;Base Control Doctrine;High;M62509;x
62510;Chief of Air Force;Kaleem Saadat;2003;2050;2050;SC;Army Aviation Doctrine;High;Ksaadat;x
;Replacements;;;;;;;x
62511;Head of Government;Chaudhry Shujaat Hussain;2003;2050;2050;SC;Silent Workhorse;High;Cshussein;x
62512;Head of Government;Shaukat Aziz;2004;2050;2050;SC;Corporate Suit;High;M62504;x
62513;Head of Government;Muhammad Mian Soomro;2007;2050;2050;SC;Corporate Suit;High;Mmsoomro;x
62514;Head of Government;Yousaf Raza Gillani;2003;2050;2050;SD;Ambitious Union Boss;High;Yrgillani;x
62515;Foreign Minister;Inam-ul-Haq;2003;2050;2050;SC;Undistinguished Suit;High;Iuhaq;x
62516;Foreign Minister;Shah Mehmood Qureshi;2003;2050;2050;SD;Great Compromiser;High;Smkureshi;x
62517;Head of State;Asif Ali Zardari;2003;2050;2050;SD;Autocratic Charmer;High;Aazardari;x
62518;Head of State;Benazir Bhutto;2003;2050;2050;SD;Benevolent Gentleman;High;Bbhutto;x
62519;Head of Government;Benazir Bhutto;2003;2050;2050;SD;Naive Optimist;High;Bbhutto;x
62520;Minister of Armament;Chaudhry Ahmed Mukhtar;2003;2050;2050;SD;Resource Industrialist;High;Unknown;x
62521;Minister of Security;Chaudhry Aitzaz Ahsan;2003;2050;2050;SD;Crime Fighter;High;Caahsan;x
62522;Minister of Security;Rehman Malik;2003;2050;2050;SD;Undistinguished Suit;High;Rmalik;x
62523;Head of Government;Nawaz Sharif;2003;2050;2050;ML;Backroom Backstabber;High;Nsharif;x
62524;Head of State;Nawaz Sharif;2003;2050;2050;ML;Autocratic Charmer;High;Nsharif;x
62525;Minister of Security;Muhammad Barjees Tahir;2003;2050;2050;ML;Silent Lawyer;High;Mbtahir;x
