PAN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
64001;Head of State;Mireya Moscoso;2003;2050;2050;SD;Autocratic Charmer;High;Mmoscoso;x
64002;Head of Government;Mireya Moscoso;2003;2050;2050;SD;Happy Amateur;High;Mmoscoso;x
64003;Foreign Minister;Samuel Navarro;2003;2050;2050;SL;Great Compromiser;High;Snavarro;x
64004;Minister of Armament;Military abolished;2003;2050;2050;NA;Undistinguished Suit;High;Panamamilitary;x
64005;Minister of Security;Jose Raul Mulino;2003;2050;2050;SL;Compassionate Gentleman;High;Jrmulino;x
64006;Head of Military Intelligence;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
64007;Chief of Staff;Military abolished;2003;2050;2050;NA;Undistinguished Suit;High;Panamamilitary;x
64008;Chief of Army;Military abolished;2003;2050;2050;NA;Undistinguished Suit;High;Panamamilitary;x
64009;Chief of Navy;Military abolished;2003;2050;2050;NA;Undistinguished Suit;High;Panamamilitary;x
64010;Chief of Air Force;Military abolished;2003;2050;2050;NA;Undistinguished Suit;High;Panamamilitary;x
;Replacements;;;;;;;x
64011;Head of State;Martin Torrijos;2003;2050;2050;SD;Die-hard Reformer;High;Mtorrijos;x
64012;Head of Government;Martin Torrijos;2003;2050;2050;SD;Flamboyant Tough Guy;High;Mtorrijos;x
64013;Head of State;Ricardo Martinelli;2003;2050;2050;SC;Barking Buffoon;High;Rmartinelli;x
64014;Head of Government;Ricardo Martinelli;2003;2050;2050;SC;Naive Optimist;High;Rmartinelli;x
64015;Head of State;Balbina Herrera;2009;2050;2050;SD;Benevolent Gentleman;High;Bherrera;x
64016;Head of Government;Balbina Herrera;2009;2050;2050;SD;Ambitious Union Boss;High;Bherrera;x
64017;Head of State;Guillermo Endara;2003;2050;2050;ML;Weary Stiffneck;High;Gendara;x
64018;Head of Government;Guillermo Endara;2003;2050;2050;ML;Silent Workhorse;High;Gendara;x
