PAR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
13601;Head of State;Óscar Nicanor Frutos;2003;2050;2050;SD;Weary Stiffneck;High;M13601;x
13602;Head of Government;Óscar Nicanor Frutos;2003;2050;2050;SD;Backroom Backstabber;High;M13601;x
13603;Minister of Armament;Undistinguished suit;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
13604;Foreign Minister;Undistinguished suit;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
13605;Chief of Navy;Undistinguished suit;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
13606;Chief of Army;Undistinguished suit;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
13607;Chief of Air Force;Undistinguished suit;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
13608;Head of Military Intelligence;Undistinguished suit;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
13609;Chief of Staff;Undistinguished suit;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
13610;Minister of Security;Undistinguished suit;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
;Replacements;;;;;;;x
