PER;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
38801;Head of State;Ayatollah Ali Hoseini-Khamenei;2003;2050;2050;PA;Die-hard Reformer;High;M38001;x
38802;Head of Government;Mohammad Khatami;2003;2050;2050;SC;Smiling Oilman;High;M38002;x
38803;Foreign Minister;Kamal Kharrazi;2003;2050;2050;SC;Iron Fisted Brute;High;M38003;x
38804;Minister of Armament;Ali Shamkhani;2003;2050;2050;PA;Administrative Genius;High;M38007;x
38805;Minister of Security;Abdolvahed Mousavi-Lari;2003;2050;2050;SC;Crime Fighter;High;Amlari;x
38806;Head of Military Intelligence;Ali Younesi;2003;2050;2050;PA;Political Specialist;High;M38005;x
38807;Chief of Staff;Ali Shamkhani;2003;2050;2050;PA;School of Defence;High;M38007;x
38808;Chief of Army;Hassan Firouzabadi;2003;2050;2050;PA;Static Defence Doctrine;High;M38008;x
38809;Chief of Navy;Abbas Mohtaj;2003;2050;2050;PA;Base Control Doctrine;High;Unknown;x
38810;Chief of Air Force;Reza Pardis;2003;2050;2050;PA;Air Superiority Doctrine;High;Unknown;x
;Replacements;;;;;;;x
38812;Head of Government;Akbar Hashemi Rafsanjani;2003;2050;2050;SC;Silent Workhorse;High;Ahrafsandjani;x
38813;Head of Government;Mahmoud Ahmadinejad;2005;2050;2050;PA;Flamboyant Tough Guy;High;M38012;x
38814;Minister of Security;Abdo-Nabi Namazi;2003;2050;2050;PA;Efficient Sociopath;High;Unknown;x
38815;Foreign Minister;Manouchehr Mottaki;2003;2050;2050;PA;Ideological Crusader;High;M38013;x
38816;Minister of Armament;Eshaq Jahangiri;2003;2050;2050;PA;Infantry Proponent;High;M38004;x
38817;Chief of Navy;Ali Shamkhani;2003;2050;2050;PA;Indirect Approach Doctrine;High;M38008;x
38818;Minister of Armament;Mostafa Najjar;2003;2050;2050;PA;Military Entrepreneur;High;Mnajjar;x
38819;Minister of Security;Mostafa Pour-Mohammadi;2003;2050;2050;PA;Prince of Terror;High;Mpmohammadi;x
38820;Head of Military Intelligence;Gholam-Hossein Mohseni-Ejeie;2003;2050;2050;PA;Political Specialist;High;Ghmejeie;x
38821;Head of Military Intelligence;Hassan Abbasi;2003;2050;2050;PA ;Political Specialist;High;Habbasi;x
38822;Foreign Minister;Hassan Abbasi;2003;2050;2050;PA;Ideological Crusader;High;Habbasi;x
38823;Minister of Security;Mohammad Ali Abtahi;2003;2050;2050;PA ;Silent Lawyer;High;Maabtahi;x
38824;Minister of Security;Mahnaz Afkhami;2003;2050;2050;SL;Silent Lawyer;High;Mafkhami;x
38825;Foreign Minister;Morteza Alviri;2003;2050;2050;PA;Apologetic Clerk;High;Malviri;x
38826;Minister of Armament;Mohammad Reza Aref;2003;2050;2050;PA;Theoretical Scientist;High;Mraref;x
38827;Foreign Minister;Ahmad Bourghani;2003;2050;2050;ML;Great Compromiser;High;Abourghani;x
38828;Head of Government;Parviz Davoodi;2003;2050;2050;SC;Silent Workhorse;High;Pdavoodi;x
38829;Minister of Security;Gholam-Hossein Elham;2003;2050;2050;PA;Compassionate Gentleman;High;Glelham;x
38830;Foreign Minister;Majid Farahani;2003;2050;2050;SL;Great Compromiser;High;Unknown;x
38831;Minister of Armament;Parviz Fattah;2003;2050;2050;PA;Theoretical Scientist;High;Pfattah;x
38832;Foreign Minister;Hassan Rahimpour Azghandi;2003;2050;2050;PA;Iron Fisted Brute;High;Unknown;x
38833;Minister of Security;Ruhollah Hosseinian;2003;2050;2050;FA;Efficient Sociopath;High;Rhosseinian;x
38834;Foreign Minister;Saeed Jalili;2005;2050;2050;PA;Ideological Crusader;High;Sjalili;x
38835;Minister of Armament;Saeed Jalili;2005;2050;2050;PA;Theoretical Scientist;High;Sjalili;x
38836;Minister of Security;Jamal Karimi-Rad;2003;2050;2050;PA;Prince of Terror;High;Jkrad;x
38837;Minister of Security;Ali Akbar Mousavi Khoeini;2003;2050;2050;SL;Man of the People;High;Aamkhoini;x
38838;Head of State;Shah Reza II;2003;2050;2050;ML;Benevolent Gentleman;High;Rpahlavi;x
38839;Minister of Armament;Mohsen Rezaee;2003;2050;2050;PA;Military Entrepreneur;High;Mrezaee;x
38840;Foreign Minister;Mohammad Reza Khatami;2003;2050;2050;SC;Ideological Crusader;High;Mrkhatami;x
38841;Minister of Security;Mostafa Tajzadeh;2003;2050;2050;SC;Silent Lawyer;High;Mtajzadeh;x
