PHI;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
66001;Head of State;Gloria Macapagal-Arroyo;2003;2050;2050;SL;Benevolent Gentleman;High;M66001;x
66002;Head of Government;Gloria Macapagal-Arroyo;2003;2050;2050;SL;Political Protege;High;M66001;x
66003;Foreign Minister;Blas Ople;2003;2050;2050;SL;Great Compromiser;High;M66003;x
66004;Minister of Armament;Jose Isidro Camacho;2003;2050;2050;SL;laissez-faire capitalist;High;M66004;x
66005;Minister of Security;Hernando Perez;2003;2050;2050;SL;Crooked Kleptocrat;High;M66005;x
66006;Head of Military Intelligence;Reynaldo Wycoco;2003;2050;2050;SL;Logistics Specialist;High;Unknown;x
66007;Chief of Staff;Gregorio Camiling;2003;2050;2050;SL;School of Psychology;High;M66007;x
66008;Chief of Army;Gregorio Camiling;2003;2050;2050;SL;Guns and Butter Doctrine;High;M66007;x
66009;Chief of Army;Gilmer Batestil;2003;2050;2050;SL;Decisive Battle Doctrine;High;Unknown;x
66010;Chief of Air Force;Nestor Santillan;2003;2050;2050;SL;Vertical Envelopment Doctrine;High;M66010;x
;Replacements;;;;;;;x
66011;Head of State;Fernando Poe;2003;2050;2050;SD;Barking Buffoon;High;M66011;x
66012;Head of Government;Fernando Poe;2003;2050;2050;SD;Happy Amateur;High;M66011;x
66013;Foreign Minister;Delia Domingo Albert;2003;2050;2050;SL;Great Compromiser;High;M66013;x
66014;Foreign Minister;Alberto Romulo;2004;2050;2050;SL;Biased Intellectual;High;M66014;x
66015;Minister of Armament;Juanita Amatong;2003;2050;2050;SL;laissez-faire capitalist;High;M66015;x
66016;Minister of Security;Maria Merceditas Gutierrez;2003;2050;2050;SL;Crime Fighter;High;Unknown;x
66017;Head of Military Intelligence;Nestor Mantaring;2003;2050;2050;SL;Technical Specialist;High;M66017;x
66018;Chief of Staff;Efren Abu;2003;2050;2050;SL;School of Fire Support;High;M66018;x
66019;Chief of Staff;Generoso Senga;2003;2050;2050;SL;School of Psychology;High;M66019;x
66020;Chief of Army;Efren Abu;2003;2050;2050;SL;Decisive Battle Doctrine;High;M66018;x
66021;Chief of Army;Generoso Senga;2003;2050;2050;SL;elastic defence doctrine;High;M66019;x
66022;Chief of Air Force;Jose Reyes;2003;2050;2050;SL;Army Aviation Doctrine;High;M66022;x
