POL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
66501;Head of State;Aleksander Kwasniewski;2003;2050;2050;SD;Benevolent Gentleman;High;M66501;x
66502;Head of Government;Leszek Miller;2003;2050;2050;SD;Backroom Backstabber;High;M66502;x
66503;Foreign Minister;Wlodzimierz Cimoszewicz;2003;2050;2050;SD;Biased Intellectual;High;M66503;x
66504;Minister of Armament;Jerzy Szmajdzinski;2003;2050;2050;SD;Tank Proponent;High;M66504;x
66505;Minister of Security;Krzysztof Janik;2003;2050;2050;SD;Efficient Sociopath;High;M66505;x
66506;Head of Military Intelligence;Marek Dukaczewski;2003;2050;2050;SD;Dismal Enigma;High;M66506;x 
66507;Chief of Staff;Czeslaw Piatas;2003;2050;2050;SD;School of Defence;High;M66507;x
66508;Chief of Army;Edward Pietrzyk;2003;2050;2050;SD;elastic defence doctrine;High;M66508;x
66509;Chief of Navy;Ryszard Lukasik;2003;2050;2050;SD;Base Control Doctrine;High;M66509;x
66510;Chief of Air Force;Ryszard Olszewski;2003;2050;2050;SD;Air Superiority Doctrine;High;M66510;x
;Replacements;;;;;;;x
66511;Head of State;Andrzej Olechowski;2003;2050;2050;ML;Weary Stiffneck;High;M66565;x 
66512;Head of State;Marek Borowski;2003;2050;2050;SD;Die-hard Reformer;High;M66512;x 
66513;Head of State;Andrzej Lepper;2003;2050;2050;LWR;Powerhungry Demagogue;High;M66513;x 
66514;Head of State;Wlodzimierz Cimoszewicz;2003;2050;2050;SD;Insignificant Layman;High;M66503;x 
66515;Head of State;Maciej Giertych;2003;2050;2050;PA;Pig-headed Isolationist;High;M66515;x 
66516;Head of State;Lech Kaczynski;2003;2050;2050;SC;barking buffoon;High;M66516;x 
66517;Head of State;Donald Tusk;2003;2050;2050;ML;Benevolent Gentleman;High;M66517;x
66518;Head of State;Radoslaw Sikorski;2008;2050;2050;SC;Stern Imperialist;Very High;M66518;x
66519;Head of State;Zbigniew Ziobro;2007;2050;2050;SC;barking buffoon;High;M66519;x
66520;Head of State;Janusz Korwin-Mikke;2003;2050;2050;PA;Pig-headed Isolationist;High;M66620;x   
66521;Head of State;Dariusz Rosati;2006;2050;2050;SL;Benevolent Gentleman;High;M66621;x
