POR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
67000;Head of State;Jorge Sampaio;2003;2050;2050;SL;Popular Figurehead;High;M67000;x
67001;Head of Government;Jose Socrates;2003;2050;2050;SL;Silent Workhorse;High;M67001;x
67002;Foreign Minister;Maria Manuela Franco;2003;2050;2050;SL;Ideological Crusader;High;M67002;x
67003;Minister of Armament;Luís Amado;2003;2050;2050;SL;Resource Industrialist;High;M67003;x
67004;Minister of Security;Maria Pinto de Fronseca;2003;2050;2050;SL;Crime Fighter;High;Unknown;x
67005;Chief of Staff;Maria da Graça Martins;2003;2050;2050;SL;School of Fire Support;High;Unknown;x
67006;Chief of Staff;Maria dos Anjos Capote;2003;2050;2050;SL;School of Defence;High;Unknown;x
67007;Chief of Army;Gabriel Espírito Santo;2003;2050;2050;SL;Guns and Butter Doctrine;High;M67007;x
67008;Chief of Navy;Francisco A. Torres Vidal;2003;2050;2050;SL;Open Seas Doctrine;High;M67008;x
67009;Chief of Air Force;David César de Almeida Oliveira;2003;2050;2050;SL;Naval Aviation Doctrine;High;M67009;x
;Replacements;;;;;;;x
67011;Chief of Staff;Mariano Gago;2005;2050;2050;SL;School of Defence;High;M67011;x
67012;Chief of Staff;Francisco Nunes Correira;2005;2050;2050;SL;School of Defence;High;M67012;x
67013;Foreign Minister;Diogo Freitas do Amaral;2005;2050;2050;SL;Great Compromiser;High;M67013;x
67014;Chief of Staff;Antínio Costa;2005;2050;2050;SL;School of Defence;High;M67014;x
