PRK;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
60501;Head of State;Kim Jong-nam;2003;2050;2050;ST;Pig-headed Isolationist;High;M60501;x
60502;Head of Government;Kim Jong Il;2003;2050;2050;ST;Backroom Backstabber;High;M60502;x
60503;Foreign Minister;Paek Nam Sun;2003;2050;2050;ST;General Staffer;Medium;M60503;x
60504;Minister of Armament;Il Bong Mun;2003;2050;2050;ST;Administrative Genius;High;M60504;x
60505;Minister of Security;Sang Song Ju;2003;2050;2050;ST;Man of the People;Low;M60505;x
60506;Head of Military Intelligence;Yong Rip Pyon;2003;2050;2050;ST;Industrial Specialist;Medium;M60506;x
60507;Chief of Staff;Kim Jong Il;2003;2050;2050;ST;School of Mass Combat;Low;M60502;x
60508;Chief of Army;Il Chol Kim;2003;2050;2050;ST;Static Defence Doctrine;Very High;M60508;x
60509;Chief of Navy;Il Chol Kim;2003;2050;2050;ST;Open Seas Doctrine;Very Low;M60508;x
60510;Chief of Air Force;Il Chol Kim;2003;2050;2050;ST;Air Superiority Doctrine;High;M60508;x
;Replacements;;;;;;;x
