SAF;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
75001;Head of State;Thabo Mbeki;2003;2050;2050;ML;Die-hard Reformer;High;M75001;x
75002;Head of Government;Thabo Mbeki;2003;2050;2050;ML;Backroom Backstabber;High;M75001;x
75003;Foreign Minister;Nkosazana Dlamini Zuma;2003;2050;2050;SL;Ideological Crusader;High;M75003;x
75004;Minister of Armament;Trevor Manuel;2003;2050;2050;ML;Laissez-Faire Capitalist;High;M75004;x 
75005;Minister of Security;Brigitte Mabandla;2003;2050;2050;SL;Compassionate Gentleman;High;M75005;x
75006;Head of Military Intelligence;Hilton Dennis;2003;2050;2050;SC;Logistics Specialist;High;M75006;x
75007;Chief of Staff;Siphiwe Nyanda;2003;2050;2050;SC;School of Mass Combat;High;M75007;x
75008;Chief of Army;Gilbert Ramano;2003;2050;2050;SL;Guns and Butter Doctrine;High;M75008;x
75009;Chief of Navy;Johan Retief;2003;2050;2050;ML;Base Control Doctrine;High;M75009;x
75010;Chief of Air Force;Roelf Beukes;2003;2050;2050;SL;Air Superiority Doctrine;High;M75010;x
;Replacements;;;;;;;x
