SAR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
851901;Head of State;Chandrika Kumaratunga;2003;2050;2050;SL;Benevolent Gentleman;High;M851901;x
851902;Head of Government;Ranil Wickremasinghe;2003;2050;2050;ML;Silent Workhorse;High;M851902;x
851903;Foreign Minister;Tyronne Fernando;2003;2050;2050;ML;Great Compromiser;High;Tfernando;x
851904;Minister of Armament;Chandrika Kumaratunga;2003;2050;2050;ML;Undistinguished suit;High;M851901;x
851905;Minister of Security;Ranil Wickremasinghe;2003;2050;2050;ML;Crime Fighter;High;M851902;x
851906;Head of Military Intelligence;Undistinguished suit;2003;2050;2050;NA;Undistinguished suit;High;Unknown;x
851907;Chief of Staff;Daya Sandagiri;2003;2050;2050;NA;School of Psychology;High;Dsandagiri;x
851908;Chief of Army;Lionel Balagalle;2003;2050;2050;NA;Undistinguished suit;High;Lbalagalle;x
851909;Chief of Navy;Daya Sandagiri;2003;2050;2050;NA;Indirect Approach Doctrine;High;Dsandagiri;x
851910;Chief of Air Force;Donald Perera;2003;2050;2050;NA;Undistinguished suit;High;Dperera;x
;Replacements;;;;;;;x
851912;Head of State;Mahinda Rajapaksa;2003;2050;2050;SL;Benevolent Gentleman;High;Mrajapaksa;x
851913;Head of Government;Mahinda Rajapaksa;2003;2050;2050;SL;Ambitious Union Boss;High;Mrajapaksa;x
851914;Head of Government;Ratnasiri Wickremanayake;2005;2050;2050;SL;Flamboyant Tough Guy;High;Rwickremanayake;x
851915;Foreign Minister;Mangala Samaraweera;2003;2050;2050;SL;Biased Intellectual;High;Msamaraweera;x
851916;Foreign Minister;Rohitha Bogollagama;2007;2050;2050;SL;Ideological Crusader;High;Rbogollagama;x
851917;Foreign Minister;Andura Bandaranaike;2005;2050;2050;SL;Apologetic Clerk;High;Abandaranaike;x
851918;Foreign Minister;Lakshman Kadirgamar;2003;2050;2050;SL;Great Compromiser;High;Lkardigamar;x
851919;Chief of Army;Shantha Kottegoda;2004;2050;2050;NA;Decisive Battle Doctrine;High;Skottegoda;x
851920;Chief of Navy;Wasantha Karannagoda;2003;2050;2050;NA;Decisive Naval Battle Doctrine;High;Wkarannagoda;x
851921;Chief of Air Force;Roshan Goonatilake;2003;2050;2050;NA;Naval Aviation Doctrine;High;Rgoonatilake;x
851922;Chief of Staff;Donald Perera;2003;2050;2050;NA;School of Fire Support;High;Dperera;x
851923;Minister of Armament;Gotabhaya Rajapaksa;2003;2050;2050;SL;Military Entrepreneur;High;Grajapaksa;x
851924;Head of State;Ranil Wickremasinghe;2003;2050;2050;ML;Benevolent Gentleman;High;M851902;x
851925;Chief of Army;Sarath Fonseka;2003;2050;2050;NA;Guns and Butter Doctrine;High;Sfonseka;x
851926;Chief of Staff;Sarath Fonseka;2003;2050;2050;NA;School of Psychology;High;Sfonseka;x
851927;Chief of Army;Parami Kulatunga;2003;2050;2050;NA;Elastic Defence Doctrine;High;Pkulatunga;x
