SAU;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
70001;Head of State;Fahd Abdul Aziz al-Saud;2003;2050;2050;NS;Insignificant Layman;High;M70001;x
70002;Head of Government;Fahd Abdul Aziz al-Saud;2003;2050;2050;NS;Smiling Oilman;High;M70001;x
70003;Foreign Minister;Saud al-Faysal;2003;2050;2050;NS;Biased Intellectual;High;Safaysal;x
70004;Minister of Armament;Ibrahim Bin Abdul-Aziz Al-Assaf;2003;2050;2050;NS;Resource Industrialist;High;Unknown;x
70005;Minister of Security;Nayef bin Abdul Aziz;2003;2050;2050;NS;Back Stabber;High;Unknown;x
70006;Head of Military Intelligence;Nawaf Bin Abdul Aziz;2003;2050;2050;NS;Political Specialist;High;Unknown;x
70007;Chief of Staff;Saleh Bin Ali Al-Muhaya;2003;2050;2050;NS;School of Fire Support;High;Unknown;x
70008;Chief of Army;Saleh Bin Ali Al-Muhaya;2003;2050;2050;NS;Armoured Spearhead Doctrine;High;Unknown;x
70009;Chief of Navy;Saleh Bin Ali Al-Muhaya;2003;2050;2050;NS;Decisive Naval Battle Doctrine;High;Unknown;x
70010;Chief of Air Force;Abdul Aziz Bin Muhammad;2003;2050;2050;NS;Air Superiority Doctrine;High;Unknown;x
;Replacements;;;;;;;x
70011;Head of State;Abdullah Abdul Aziz al-Saud;2003;2050;2050;NS;Ruthless Powermonger;High;Aasaud;x
70012;Head of Government;Abdullah Abdul Aziz al-Saud;2003;2050;2050;NS;Backroom Backstabber;High;Aasaud;x
