SER;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
71001;Head of State;Natasa Micic;2003;2050;2050;SL;Popular Figurehead;high;Nmicic;x
71002;Head of Government;Zoran Zivkovic;2003;2050;2050;SL;Naive Optimist;high;M71021;x
71003;Foreign Minister;Goran Svilanovic;2003;2050;2050;SL;Biased Intellectual;high;M71023;x
71004;Minister of Armament;Boris Tadic;2003;2050;2050;SL;laissez-faire capitalist;high;M71001;x
71005;Minister of Security;Dusan Mihajlovic;2003;2050;2050;SL;Crooked Kleptocrat;high;Dmihajlovic;x
71006;Head of Military Intelligence;Misa Milicevic;2003;2050;2050;SL;Political Specialist;high;Unknown;x
71007;Chief of Staff;Dragan Paskas;2003;2050;2050;NA;School of Manoeuvre;high;M72007;X
71008;Chief of Army;Vladimir Lazarevic;2003;2050;2050;NA;Armoured Spearhead Doctrine;high;Vlazarevic;x
71009;Chief of Navy;Mihajlo Zarkovic;2003;2050;2050;NA;Decisive Naval Battle Doctrine;high;Mzarkovic;x
71010;Chief of Air Force;Branislav Petrovic;2003;2050;2050;NA;Air Superiority Doctrine;high;Unknown;x
;Replacements;;;;;;;x
71011;Head of Government;Vojislav Kostunica;2003;2050;2050;SC;Backroom Backstabber;high;M71002;x
71012;Foreign Minister;Vuk Draskovic;2003;2050;2050;SC;Biased Intellectual;high;M72003;X
71013;Minister of Security;Zoran Stankovic;2003;2050;2050;ML;Compassionate Gentleman;high;M71028;x
71014;Chief of Staff;Mladen Cirkovic;2007;2050;2050;NA;School of Manoeuvre;high;M71032;x
71015;Chief of Air Force;Dragan Katanic;2006;2050;2050;NA;Air Superiority Doctrine;high;M71025;x
71016;Head of Government;Mirko Cvetkovic;2008;2050;2050;SL;Silent Workhorse;high;M71029;x
71017;Foreign Minister;Vuk Jeremic;2007;2050;2050;SL;Great Compromiser;high;Vjeremic;x
