SIA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
82001;Head of State;King Rama IX;2003;2050;2050;SC;Popular Figurehead;High;M82001;x
82002;Head of Government;Thaksin Shinawatra;2003;2050;2050;SL;Corporate Suit;High;M82002;x
82003;Foreign Minister;Surakiart Sathirathai;2003;2050;2050;SL;Biased Intellectual;High;M82003;x
82004;Minister of Armament;Surchat Jaovisidha;2003;2050;2050;SL;Infantry Proponent;High;M82004;x
82005;Minister of Security;Pongthep Thepkanjana;2003;2050;2050;SL;Crime Fighter;High;M82005;x
82006;Head of Military Intelligence;Anu Sumitra;2003;2050;2050;SC;Logistics Specialist;High;M82006;x
82007;Chief of Staff;Surayud Chulanont;2003;2050;2050;SC;School of Fire Support;High;M82007;x
82008;Chief of Army;Chaisit Shinawatra;2003;2050;2050;SC;Decisive Battle Doctrine;High;M82008;x
82009;Chief of Navy;Daweesak Somabha;2003;2050;2050;SD;Indirect Approach Doctrine;High;M82009;x
82010;Chief of Air Force;Kongsak Vantana;2003;2050;2050;SC;Army Aviation Doctrine;High;M82010;x
;Replacements;;;;;;;x
