SIE;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
72001;Head of State;Ahmed Tejan Kabbah;2003;2050;2050;ML;Die-hard Reformer;High;Atkabbah;x
72002;Head of Government;Ahmed Tejan Kabbah;2003;2050;2050;ML;Silent Workhorse;High;Atkabbah;x
72003;Foreign Minister;Momodu Koroma;2003;2050;2050;ML;Biased Intellectual;High;Mkoroma;x
72004;Minister of Armament;Alfred Konteh;2003;2050;2050;ML;Military Entrepreneur;High;Apkonteh;x
72005;Minister of Security;Abdul Serry-Kamal;2003;2050;2050;ML;Silent Lawyer;High;Askamal;x
72006;Head of Military Intelligence;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
72007;Chief of Staff;Alfred Nelson-Williams;2003;2050;2050;NA;School of Psychology;High;Anwilliams;x
72008;Chief of Army;Alfred Nelson-Williams;2003;2050;2050;NA;Armoured Spearhead Doctrine;High;Anwilliams;x
72009;Chief of Air Force;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
72010;Chief of Navy;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
;Replacements;;;;;;;x
72011;Head of State;Ernest Koroma;2003;2050;2050;SD;Die-hard Reformer;High;Ekoroma;x
72012;Head of Government;Ernest Koroma;2003;2050;2050;SD;Ambitious Union Boss;High;Ekoroma;x
72013;Head of State;Solomon Berewa;2007;2050;2050;ML;Benevolent Gentleman;High;Sberewa;x
72014;Head of Government;Solomon Berewa;2007;2050;2050;ML;Political Protege;High;Sberewa;x
72015;Foreign Minister;Zainab Bangura;2003;2050;2050;SD;Great Compromiser;High;Zbangura;x
72016;Minister of Security;Dauda Camara;2003;2050;2050;SD;Compassionate Gentleman;High;Dcamara;x
