SPA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
76000;Head of State;Juan Carlos I;2003;2050;2050;PA;Benevolent Gentleman;Very High;M76000;x
76001;Head of Government;Jose Maria Aznar;2003;2050;2050;SC;Silent Workhorse;High;M76001;x
76002;Foreign Minister;Pilar del Castillo;2003;2050;2050;SC;General Staffer;High;M76002;x
76003;Minister of Armament;Federico Trillo;2003;2050;2050;SC;Military Entrepreneur;High;M76003;x
76004;Minister of Security;Javier Arenas;2003;2050;2050;SC;Man of the People;High;M76004;x
76005;Head of Military Intelligence;Alberto Saiz Cortés;2003;2050;2050;SC;Industrial Specialist;High;M76005;x
76006;Chief of Staff;Félix Sanz Roldán;2003;2050;2050;SC;School of Fire Support;High;M76006;x
76007;Chief of Army;Jose Antonio Garcia Gonzalez;2003;2050;2050;SC;Guns and Butter Doctrine;High;M76007;x
76008;Chief of Navy;Sebastián Zaragoza Soto;2003;2050;2050;SC;Indirect Approach Doctrine;High;M76008;x
76009;Chief of Air Force;Francisco José García de la Vega;2003;2050;2050;SC;Naval Aviation Doctrine;High;M76009;x
;Replacements;;;;;;;x
76011;Foreign Minister;Loyola de Palacio;2003;2050;2050;SC;Iron Fisted Brute;High;M76011;x
76012;Foreign Minister;Ana Pastor Julián;2003;2050;2050;ML;General Staffer;High;M76012;x
76013;Minister of Armament;Ignacio Astarloa;2003;2050;2050;SL;Military Entrepreneur;High;M76013;x
76014;Minister of Security;Tomás Zambrana Pineda;2003;2050;2050;ML;Crime Fighter;High;M76014;x
76015;Minister of Security;Francisco Pardo Piqueras;2003;2050;2050;ML;Compassionate Gentleman;High;M76015;x
76016;Minister of Security;Ángel Acebes;2003;2050;2050;ML;Crime Fighter;High;M76016;x
76017;Head of Military Intelligence;Francisco Torrente;2003;2050;2050;ML;Industrial Specialist;High;M76017;x
76018;Head of Government;José Luis Rodriguez Zapatero;2004;2050;2050;SL;Flamboyant Tough Guy;High;M76018;x
76019;Foreign Minister;Miguel Ángel Moratinos;2004;2050;2050;SL;Biased Intellectual;High;M76019;x
76020;Minister of Security;José Bono;2004;2050;2050;SL;Prince of Terror;High;M76020;x
76021;Chief of Staff;Pedro Solbes;2004;2050;2050;ML;School of Defence;High;M76021;x
76022;Head of Government;Mariano Rajoy;2003;2050;2050;SC;Silent Workhorse;High;M76022;x
76023;Minister of Security;José Antonio Alonso;2004;2050;2050;SL;Man of the People;High;M76023;x
