SUD;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
77501;Head of State;Omar al-Bashir;2003;2050;2050;FA;Powerhungry Demagogue;High;Oabashir;x
77502;Head of Government;Omar al-Bashir;2003;2050;2050;FA;Backroom Backstabber;High;Oabashir;x
77503;Foreign Minister;Deng Alor Kuol;2003;2050;2050;FA;iron fisted brute;High;Dakuol;x
77504;Minister of Armament;Abdel Rahim Hussein;2003;2050;2050;FA;Tank Proponent;High;Arhussein;x
77505;Minister of Security;Salva Kiir Mayardit;2003;2050;2050;FA;Prince of Terror;High;Skmayardit;x
77506;Head of Military Intelligence;Bakri Hassan Saleh;2003;2050;2050;NA;Dismal Enigma;High;Bhsaleh;x
77507;Chief of Staff;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
77508;Chief of Army;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
77509;Chief of Air Force;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
77510;Chief of Navy;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
;Replacements;;;;;;;x
