SWE;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
79001;Head of State;King Carl XVI Gustaf;2003;2050;2050;SL;Popular Figurehead;High;M79001;x 
79002;Head of Government;Göran Persson;2003;2050;2050;SL;Flamboyant Tough Guy;High;M79002;x 
79003;Foreign Minister;Anna Lindh;2003;2050;2050;SL;Ideological Crusader;High;M79003;x 
79004;Minister of Armament;Leif Pagrotsky;2003;2050;2050;SL;Military Entrepreneur;High;M79004;x 
79005;Minister of Security;Thomas Bodström;2003;2050;2050;SL;Man of the People;High;M79005;x 
79006;Head of Military Intelligence;Jan Danielsson;2003;2050;2050;SL;Technical Specialist;High;M79006;x 
79007;Chief of Staff;Johan_Hederstedt;2003;2050;2050;SL;School of Defence;High;M79007;x 
79008;Chief of Army;Alf Sandqvist;2003;2050;2050;SL;Guns and Butter Doctrine;High;M79008;x 
79009;Chief of Navy;Peter Nordbeck;2003;2050;2050;SL;Base Control Doctrine;High;M79009;x 
79010;Chief of Air Force;Mats Evald Nilson;2003;2050;2050;SL;Air Superiority Doctrine;High;Unknown;x 
;Replacements;;;;;;;x
79011;Foreign Minister;Karl Johanson;2003;2050;2050;SL;General Staffer;High;Unknown;x 
