TIB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
93000;Head of State;Tenzin Gyatso;2003;2050;2050;FA;Powerhungry Demagogue;Medium;dalai;x
93001;Head of Government;Samdhong Lobsang Tenzin;2003;2050;2050;FA;Backroom Backstabber;High;tenzin;x
93002;Foreign Minister;Kesang Yangkyi Takla;2003;2050;2050;FA;The Cloak N Dagger Schemer;Medium;kesang;x
93003;Minister of Armament;Tsering Dhondup;2003;2050;2050;FA;Corrupt Kleptocrat;Medium;;x
93004;Minister of Security;Ngodup Drongchung;2003;2050;2050;FA;Crime Fighter;Very High;;x
93005;Head of Military Intelligence;Tempa Tsering;2003;2050;2050;FA;Technical Specialist;High;tempa;x
93006;Chief of Staff;Tsering Phuntsok;2003;2050;2050;FA;School of Mass Combat;Very High;phun;x
93007;Chief of Army;Ngodup Drongchung;2003;2050;2050;FA;static defence doctrine;High;;x
93008;Chief of Army;Ngodup Drongchung;2003;2050;2050;FA;Decisive Battle Doctrine;High;;x
93009;Chief of Air Force;Ngodup Drongchung;2003;2050;2050;FA;Carpet Bombing Doctrine;Medium;;x
;Replacements;;;;;;;x
