TRK;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
85001;Head of State;Saparmurat Niyazov;2003;2050;2050;PA;Ruthless Powermonger;High;M85001;x
85002;Head of Government;Saparmurat Niyazov;2003;2050;2050;PA;Flamboyant Tough Guy;High;M85001;x
85003;Foreign Minister;Rashid Meredov;2003;2050;2050;PA;Apologetic Clerk;High;M85003;x
85004;Minister of Armament;Agagelgy Mametgeldiyev;2003;2050;2050;PA;Corrupt Kleptocrat;High;M85004;x
85005;Minister of Security;Ahmammet Rahmanov;2003;2050;2050;PA;Prince of Terror;High;Unknown;x
85006;Head of Military Intelligence;Geldymukhammed Ashirmukhamedov;2003;2050;2050;PA;Political Specialist;High;Unknown;x
85007;Chief of Staff;Rejepgeldi Nursahedow;2003;2050;2050;PA;School of Defence;High;Unknown;x
85008;Chief of Army;Rejepgeldi Nursahedow;2003;2050;2050;PA;Static Defence Doctrine;High;Unknown;x
85009;Chief of Navy;Unknown;2003;2050;2050;PA;Indirect Approach Doctrine;High;Unknown;x
85010;Chief of Air Force;Unknown;2003;2050;2050;PA;Army Aviation Doctrine;High;Unknown;x
;Replacements;;;;;;;x
85011;Minister of Armament;Chorly Myradov;2003;2050;2050;PA;Resource Industrialist;High;Unknown;x
85012;Minister of Security;Geldymukhammed Ashirmukhamedov;2003;2050;2050;PA;Crime Fighter;High;Unknown;x
85013;Chief of Staff;Chorly Myradov;2003;2050;2050;PA;School of Fire Support;High;Unknown;x
85014;Chief of Staff;Annamurat Soltanov;2003;2050;2050;PA;School of Manoeuvre;High;Unknown;x
85015;Chief of Army;Chorly Myradov;2003;2050;2050;PA;elastic defence doctrine;High;Unknown;x
85016;Chief of Army;Annamurat Soltanov;2003;2050;2050;PA;Guns and Butter Doctrine;High;Unknown;x
