TUN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
84001;Head of State;Zayn al-Abedine Bin Ali;2003;2050;2050;PA;Insignificant Layman;High;M84001;x
84002;Head of Government;Mohamed Ghannouchi;2003;2050;2050;PA;Corporate Suit;High;M84002;x
84003;Foreign Minister;Habib Ben Yahia;2003;2050;2050;PA;Biased Intellectual;High;M84003;x
84004;Minister of Armament;Dali Jazi;2003;2050;2050;PA;Administrative Genius;High;Unknown;x
84005;Minister of Security;Bechir Tekkari;2003;2050;2050;PA;Man of the People;High;M84005;x
84006;Head of Military Intelligence;Unknown;2003;2050;2050;PA;Technical Specialist;High;Unknown;x
84007;Chief of Staff;Chokri Ayachi;2003;2050;2050;PA;School of Defence;High;Unknown;x
84008;Chief of Army;Rashid Amar;2003;2050;2050;PA;Static Defence Doctrine;High;Unknown;x
84009;Chief of Navy;Brahim Barak;2003;2050;2050;PA;Open Seas Doctrine;High;Unknown;x
84010;Chief of Air Force;Rida Hamuda Atar;2003;2050;2050;PA;Air Superiority Doctrine;High;Unknown;x
;Replacements;;;;;;;x
84011;Foreign Minister;Hatem Ben Salem;2003;2050;2050;PA;Ideological Crusader;High;M84011;x
