TUR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
84501;Head of State;Ahmed Necdet Sezer;2003;2050;2050;ML;Barking Buffoon;High;M84501;X
84502;Head of Government;Recep Tayyip Erdogan;2003;2050;2050;SC;Corporate Suit;High;M84502;X
84503;Foreign Minister;Abdullah Gül;2003;2050;2050;ML;Great Compromiser;High;M84503;X
84504;Minister of Armament;Mehmet Vecdi Gönül;2003;2050;2050;ML;Military Entrepreneur;High;M84504;X
84505;Minister of Security;Abdülkadir Aksu;2003;2050;2050;ML;Man of the People;High;M84505;X
84506;Head of Military Intelligence;Emre Taner;2003;2050;2050;NA;Political Specialist;High;M84506;X
84507;Chief of Staff;Hilmi Özkök;2003;2050;2050;ML;School of Psychology;High;M84507;X
84508;Chief of Army;Mehmet Yasar Büyükanit;2003;2050;2050;ML;Guns and Butter Doctrine;High;M84508;X
84509;Chief of Navy;Yener Karahanoglu;2003;2050;2050;NA;Base Control Doctrine;High;M84509;X
84510;Chief of Air Force;Halil Ibrahim Firtina;2003;2050;2050;NA;Air Superiority Doctrine;High;Hifirtina;X
;Replacements;;;;;;;x
84511;Head of Government;Devlet Bahceli;2003;2050;2050;FA;Political Protege;High;M84512;X
84512;Foreign Minister;Dogu Perincek;2003;2050;2050;FA;Ideological Crusader;High;M84513;X# military
84513;Minister of Armament;Sabahattin Cakmakoglu;2003;2050;2050;FA;Resource Industrialist;High;Scakmakoglu;X
84514;Head of Military Intelligence;Murad Bayar;2003;2050;2050;FA;Logistics Specialist;High;M84516;X
84515;Chief of Staff;Ilker Basburg;2003;2050;2050;NA;School of Fire Support;High;M84517;x
84516;Chief of Army;Fethi Remzi Tuncel;2003;2050;2050;NA;Decisive Battle Doctrine;High;M84518;x
84517;Chief of Navy;Fevzi Türkeri;2003;2050;2050;NA;Open Seas Doctrine;High;M84519;x
84518;Chief of Air Force;Ergin Saygun;2003;2050;2050;NA;Air Superiority Doctrine;High;M84520;x
84519;Head of State;Abdullah Gül;2007;2050;2050;ML;Benevolent Gentleman;High;M84503;x
