U25;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
48012;Head of State;Mustafa Abdul-Jalil;2003;2050;SD;Benevolent Gentleman;High;LBY_MAbdul-Jalil;x
48013;Head of Government;Mahmoud Jibril;2003;2050;SL;Silent Workhorse;High;LBY_MJibril;x
48014;Foreign Minister;Mahmoud Jibril;2003;2050;SL;Biased Intellectual;High;LBY_MJibril;x
48015;Minister of Armament;Ali Tarhouni;2003;2050;SD;Resource Industrialist;High;LBY_ATarhouni;x
48016;Minister of Security;Ahmed Hussein Al-Darrat ;2003;2050;SL;Man of the People;High;Unknown;x
48017;Head of Military Intelligence;Unknown;2003;2050;SL;Technical Specialist;High;Unknown;x
48018;Chief of Staff;Abdul Fatah Younis;2003;2050;SD;School of Mass Combat;High;LBY_AFYounis;x
48019;Chief of Army;Mahdi al-Harati;2003;2050;SD;Elastic Defence Doctrine;High;LBY_Mal-Harati;x
48020;Chief of Navy;Unknown;2003;2050;SL;Open Seas Doctrine;High;Unknown;x
48021;Chief of Air Force;Saqr Geroushi;2003;2050;SD;Air Superiority Doctrine;High;Unknown;x
;Replacements;;;;;;;x
48022;Head of State;Mahmoud Jibril;2003;2050;SL;Benevolent Gentleman;High;LBY_MJibril;x
48023;Head of State;Mohamed Yousef el-Magariaf;2003;2050;SD;Popular Figurehead;High;LBY_MYal-Megariaf;x
48024;Head of Government;Ali Tarhouni;2003;2050;SD;Resource Industrialist;High;LBY_ATarhouni;x
48025;Head of Government;Abdurrahim El-Keib;2003;2050;SL;Old General;High;LBY_Aal-Keib;x
48026;Head of Government;Mustafa Abushagur;2003;2050;SL;Silent Workhorse;High;LBY_MAbushagur;x
48027;Foreign Minister;Ashour bin-Khayal;2003;2050;SL;Apologetic Clerk;High;LBY_Abin-Khayal;x
48028;Chief of Staff;Khalifa Belqasim Haftar;2003;2050;SD;School of Fire Support;High;LBY_KBHaftar;x
