U69;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;x
1330001;Head of State;Igor Smirnov;1991;2012;2050;ST;Stern Imperialist;High;M_U69_igor_smirnov;x
1330002;Head of Government;Igor Smirnov;1991;2013;2050;ST;Ambitious Union Boss;High;M_U69_igor_smirnov;x
1330003;Foreign Minister;Valeriy Litskai;1991;2009;2050;ST;Apologetic Clerk;High;M_U69_valeriy_litskai;x
1330004;Minister of Armament;Stanislav Hazheev;1992;2040;2050;ST;Corrupt Kleptocrat;High;M_U69_stanislav_hazheev;x
1330005;Minister of Security;Vladimir Antyufeyev;1992;2013;2050;ST;Crooked Kleptocrat;High;M_U69_vladimir_antyufeyev;x
;Replacements;;;;;;;;;x
1330006;Head of State;Yevgeny Shevchuk;2012;2040;2050;ST;Stern Imperialist;High;M_U69_yevgeny_shevchuk;x
1330007;Head of Government;Pyotr Stepanov;2012;2040;2050;ST;Political Protege;High;M_U69_pyotr_stepanov;x
1330008;Foreign Minister;Vladimir Yastrebchak;2008;2013;2050;ST;Ideological Crusader;High;M_U69_vladimir_yastrebchak;x
1330009;Foreign Minister;Nina Shtanski;2012;2040;2050;ST;Ideological Crusader;High;M_U69_nina_shtanski;x
1330010;Minister of Security;Sergey Monul;2012;2040;2050;ST;Crooked Kleptocrat;High;M_U69_sergey_monul;x
