U82;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
15001;Head of State;Francois Bozizé;2003;2050;2050;PA;Resigned Generalissimo;High;Fbozize;x
15002;Head of Government;Abel Goumba;2003;2050;2050;PA;Political Protege;High;Agoumba;x
15003;Foreign Minister;Dieudonne Kombo-Yaya;2003;2050;2050;PA;Great Compromiser;High;Dkyaya;x
15004;Minister of Armament;Francois Bozizé;2003;2050;2050;PA;Military Entrepreneur;High;Fbozize;x
15005;Minister of Security;Raymond Ndougou;2003;2050;2050;PA;Crooked Kleptocrat;High;Unknown;x
15006;Head of Military Intelligence;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
15007;Chief of Staff;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
15008;Chief of Army;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
15009;Chief of Air Force;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
15010;Chief of Navy;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
;Replacements;;;;;;;x
15011;Head of Government;Célestin Gaombalet;2003;2050;2050;PA;Happy Amateur;High;Cgaombalet;x
15012;Head of Government;Élie Doté;2005;2050;2050;PA;Silent Workhorse;High;Edote;x
15013;Head of Government;Faustin-Archange Touadéra;2005;2050;2050;PA;Silent Workhorse;High;Fatouadera;x
