UKR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
86001;Head of State;Leonid Kuchma;2003;2050;2050;SC;Ruthless Powermonger;High;M86001;x
86002;Head of Government;Viktor Yanukovych;2003;2050;2050;SC;Political Protege;High;M86002;x
86003;Foreign Minister;Kostyantyn Gryshchenko;2003;2050;2050;SC;Apologetic Clerk;High;M86003;x
86004;Minister of Armament;Volodymyr Shkidchenko;2003;2050;2050;SC;Military Entrepreneur;High;Unknown;x
86005;Minister of Security;Mykola Bilokon;2003;2050;2050;SC;Silent Lawyer;High;Unknown;x
86006;Head of Military Intelligence;Valentyn Nalyvaichenko;2003;2050;2050;SC;Political Specialist;High;Unknown;x
86007;Chief of Staff;Oleksandr Zatynayko;2003;2050;2050;NA;School of Psychology;High;Kirichenko;x
86008;Chief of Army;Ivan Svyda;2003;2050;2050;NA;Decisive Battle Doctrine;High;Svyda;x
86009;Chief of Navy;Mykhailo Ezhel;2003;2050;2050;NA;Open Seas Doctrine;High;Ezhel;x
86010;Chief of Air Force;Anatoliy Toropchyn;2003;2050;2050;NA;Air Superiority Doctrine;High;Unknown;x
;Replacements;;;;;;;x
86011;Head of State;Viktor Yanukovych;2004;2050;2050;SC;Autocratic Charmer;High;M86002;x
86012;Head of State;Victor Yuschenko;2004;2050;2050;SL;Die-hard Reformer;High;M86012;x
86013;Foreign Minister;Leonid Kravchuk;2004;2050;2050;SC;Apologetic Clerk;High;Kravchuk;x
86014;Head of Government;Yulia Tymoshenko;2010;2050;2050;SL;Corporate Suit;High;M86013;x
86015;Foreign Minister;Nataliya Vitrenko;2003;2050;2050;LE;Ideological Crusader;High;Vitrenko;x
86016;Head of State;Petro Symonenko;2003;2050;2050;LE;Powerhungry Demagogue;High;Symonenko;x
86017;Head of Government;Petro Symonenko;2003;2050;2050;LE;Flamboyant Tough Guy;High;Symonenko;x
86018;Head of Government;Yulia Tymoshenko;2004;2050;2050;SL;Corporate Suit;High;M86013;x
86019;Head of Government;Yuriy Yekhanurov;2005;2050;2050;SL;Silent Workhorse;High;M86014;x
86020;Minister of Armament;Mykola Azarov;2004;2050;2050;SC;Resource Industrialist;High;M86004;x
86021;Head of Government;Yuriy Lutsenko;2007;2050;2050;SD;Silent Workhorse;High;Lutsenko;x
