URU;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
88001;Head of State;Jorge Batlle;2003;2050;2050;SC;Barking Buffoon;High;M88001;x
88002;Head of Government;Luis Hierro;2003;2050;2050;SC;Political Protege;High;M88002;x
88003;Foreign Minister;Didier Opertti;2003;2050;2050;SC;Great Compromiser;High;M88003;x
88004;Minister of Armament;Jose Isidro Camacho;2003;2050;2050;SC;Administrative Genius;High;M88004;x
88005;Minister of Security;Guillermo Stirling;2003;2050;2050;SC;Compassionate Gentleman;High;M88005;x
88006;Head of Military Intelligence;Guillermo Stirling;2003;2050;2050;SC;Dismal Enigma;High;M88005;x
88007;Chief of Staff;Raul Lago;2003;2050;2050;SC;School of Psychology;High;M88007;x
88008;Chief of Army;Unknown;2003;2050;2050;SC;Guns and Butter Doctrine;High;Unknown;x
88009;Chief of Navy;Unknown;2003;2050;2050;SC;Indirect Approach Doctrine;High;Unknown;x
88010;Chief of Air Force;Unknown;2003;2050;2050;SC;Air Superiority Doctrine;High;Unknown;x
;Replacements;;;;;;;x
88011;Head of State;Tabaré Vázquez;2005;2050;2050;SC;Benevolent Gentleman;High;M88011;x
88012;Head of Government;Rodolfo Novoa;2005;2050;2050;SC;Silent Workhorse;High;M88012;x
88013;Foreign Minister;Juanita Amatong;2005;2050;2050;SC;Ideological Crusader;High;M88013;x
88014;Minister of Armament;Azucena Berruti;2005;2050;2050;SC;laissez-faire capitalist;High;M88016;x
88015;Minister of Security;José Díaz;2005;2050;2050;SC;Crime Fighter;High;M88015;x
88016;Chief of Staff;Azucena Berruti;2005;2050;2050;SC;School of Defence;High;M88016;x
88017;Chief of Army;Ángel Bertolotti;2005;2050;2050;SC;Guns and Butter Doctrine;High;M88017;x
88018;Chief of Navy;Tabaré Yamandú Daners;2005;2050;2050;SC;Base Control Doctrine;High;M88018;x
88019;Chief of Air Force;Enrique Bonelli;2005;2050;2050;SC;Army Aviation Doctrine;High;M88019;x
