USA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
87501;Head of State;George W. Bush;2003;2050;2050;ML;Die-hard Reformer;High;M87501;X
87502;Head of Government;George W. Bush;2003;2050;2050;ML;Flamboyant Tough Guy;High;M87502;X
87503;Foreign Minister;Colin Powell;2003;2050;2050;ML;General Staffer;High;M87503;X
87504;Minister of Armament;Donald Rumsfeld;2003;2050;2050;ML;Air to Ground Proponent;High;Donald_Rumsfeld;X
87505;Minister of Security;Condoleeza Rice;2003;2050;2050;ML;Crime Fighter;High;M87505;X
87506;Head of Military Intelligence;George Tenet;2003;2050;2050;ML;Political Specialist;High;M87506;X
87507;Chief of Staff;Richard Myers;2003;2050;2050;ML;School of Fire Support;High;M87507;X
87508;Chief of Army;Peter J. Schoomaker;2003;2050;2050;ML;Decisive Battle Doctrine;High;M87508;X
87509;Chief of Navy;Vern Clark;2003;2050;2050;ML;Power Projection Doctrine;High;M87509;X
87510;Chief of Air Force;John P. Jumper;2003;2050;2050;ML;Air Superiority Doctrine;High;M87510;X
;Replacements;;;;;;;x;;
87511;Head of State;John Kerry;2003;2050;2050;SL;Weary Stiffneck;High;M87511;X
87512;Head of State;John Edwards;2004;2050;2050;SL;Benevolent Gentleman;High;john edwards;X
87513;Head of State;Howard Dean;2004;2050;2050;SL;Benevolent Gentleman;High;howard dean;X
87514;Head of State;Wesley K. Clark;2004;2050;2050;SL;Die-hard Reformer;High;wesclark;X
87515;Head of State;Richard Gephardt;2004;2050;2050;SL;Benevolent Gentleman;High;richardgephardt;X
87516;Head of State;Alfred Sharpton;2004;2050;2050;SD;Barking Buffoon;High;alsharpton;X
87517;Head of State;Dennis J. Kucinich;2004;2050;2050;SD;Barking Buffoon;High;denniskucinich;X
87518;Head of State;Ralph Nader;2004;2050;2050;SD;Benevolent Gentleman;High;ralphnader;X
87519;Head of State;Michael Badnarik;2004;2050;2050;ML;Pig-headed Isolationist;High;michaelbednarik;X
87520;Head of State;Michael Peroutka;2004;2050;2050;SC;Pig-headed Isolationist;High;michael-peroutka;X
87521;Head of State;John McCain;2008;2050;2050;ML;Die-hard Reformer;High;johnmccain;X
87522;Head of State;Newt Gingrich;2008;2050;2050;ML;Benevolent Gentleman;High;newtgingrich;X
87523;Head of State;Mitt Romney;2008;2050;2050;ML;Benevolent Gentleman;High;romney;X
87524;Head of State;Sam Brownback;2008;2050;2050;SC;Stern Imperialist;High;sambrownback;X
87525;Head of State;Condoleeza Rice;2008;2050;2050;ML;Benevolent Gentleman;High;M87505;X
87526;Head of State;Rudy Guiliani;2004;2050;2050;ML;Die-hard Reformer;High;Rudy_Giuliani;X
87527;Head of State;Evan Bayh;2003;2050;2050;SL;Benevolent Gentleman;High;evanbayh;X
87528;Head of State;Joe Biden;2003;2050;2050;SL;Barking Buffoon;High;joebiden;X
87529;Head of State;Hillary Clinton;2003;2050;2050;SL;Die-hard Reformer;High;M87529;X
87530;Head of Government;John Kerry;2003;2050;2050;SL;Naive Optimist;High;M87511;X
87531;Head of Government;John Edwards;2004;2050;2050;SL;Naive Optimist;High;john edwards;X
87532;Head of Government;Howard Dean;2004;2050;2050;SL;Flamboyant Tough Guy;High;howard dean;X
87533;Head of Government;Wesley K. Clark;2004;2050;2050;SL;Old General;High;wesclark;X
87534;Head of Government;Richard Gephardt;2004;2050;2050;SL;Backroom Backstabber;High;richardgephardt;X
87535;Head of Government;Alfred Sharpton;2004;2050;2050;SD;Happy Amateur;High;alsharpton;X
87536;Head of Government;Dennis J. Kucinich;2004;2050;2050;SD;Political Protege;High;denniskucinich;X
87537;Head of Government;Ralph Nader;2004;2050;2050;SD;Ambitious Union Boss;High;ralphnader;X
87538;Head of Government;Michael Badnarik;2004;2050;2050;ML;Corporate Suit;High;michaelbednarik;X
87539;Head of Government;Michael Peroutka;2004;2050;2050;SC;Naive Optimist;High;michael-peroutka;X
87540;Head of Government;John McCain;2008;2050;2050;ML;Backroom Backstabber;High;johnmccain;X
87541;Head of Government;Newt Gingrich;2008;2050;2050;ML;Flamboyant Tough Guy;High;newtgingrich;X
87542;Head of Government;Mitt Romney;2008;2050;2050;ML;Silent Workhorse;High;romney;X
87543;Head of Government;Sam Brownback;2008;2050;2050;SC;Happy Amateur;High;sambrownback;X
87544;Head of Government;Condoleeza Rice;2008;2050;2050;ML;Silent Workhorse;High;M87505;X
87545;Head of Government;Rudy Guiliani;2004;2050;2050;ML;Flamboyant Tough Guy;High;Rudy_Giuliani;X
87546;Head of Government;Evan Bayh;2003;2050;2050;SL;Naive Optimist;High;evanbayh;X
87547;Head of Government;Joe Biden;2003;2050;2050;SL;Backroom Backstabber;High;joebiden;X
87548;Head of Government;Hillary Clinton;2003;2050;2050;SL;Naive Optimist;High;M87529;X
87549;Foreign Minister;Condoleeza Rice;2004;2050;2050;ML;Biased Intellectual;High;M87505;X
