UZB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
88501;Head of State;Islam Karimov;2003;2050;2050;PA;Ruthless Powermonger;High;M88501;x
88502;Head of Government;Otkir Sultonov;2003;2050;2050;PA;Happy Amateur;High;M88502;x
88503;Foreign Minister;Sadyk Safayev;2003;2050;2050;PA;iron fisted brute;High;M88503;x
88504;Minister of Armament;Kadyr Gulyamov;2003;2050;2050;PA;Administrative Genius;High;M88504;x
88505;Minister of Security;Rustam Inoyatov;2003;2050;2050;PA;Prince of Terror;High;M88505;x
88506;Head of Military Intelligence;Rustam Inoyatov;2003;2050;2050;PA;Dismal Enigma;High;M88505;x
88507;Chief of Staff;Tolqin Djumaev;2003;2050;2050;PA;School of Mass Combat;High;Unknown;x
88508;Chief of Army;Tolqin Djumaev;2003;2050;2050;PA;Decisive Battle Doctrine;High;Unknown;x
88509;Chief of Navy;Unknown;2003;2050;2050;PA;Decisive Naval Battle Doctrine;High;Unknown;x
88510;Chief of Air Force;Takhir Yusupov;2003;2050;2050;PA;Air Superiority Doctrine;High;Unknown;x
;Replacements;;;;;;;x
88511;Head of State;Zakir Almatov;2003;2050;2050;SD;Benevolent Gentleman;High;M88511;x
88512;Head of State;Rustam Inoyatov;2003;2050;2050;FA;Ruthless Powermonger;High;Unknown;x
88513;Head of Government;Shavkat Mirziyayev;2004;2050;2050;PA;Flamboyant Tough Guy;High;M88513;x
88514;Foreign Minister;Elyor Ganiyev;2004;2050;2050;PA;Great Compromiser;High;M88514;x
88515;Minister of Armament;Ruslan Mirzayev;2005;2050;2050;PA;Administrative Genius;High;Unknown;x
88516;Minister of Security; Boritosh Mustofayev;2003;2050;2050;PA;Compassionate Gentleman;High;Unknown;x
