YEM;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
91001;Head of State;Ali Abdullah Saleh;2003;2050;2050;PA;Autocratic Charmer;High;M91001;x
91002;Head of Government;Abdul Qadir Bajamal;2003;2050;2050;PA;Silent Workhorse;High;M91002;x
91003;Foreign Minister;Abu Bakr al-Qirbi;2003;2050;2050;PA;Apologetic Clerk;High;M92003;X
91004;Minister of Armament;Abdullah Ali Alewa;2003;2050;2050;PA;Resource Industrialist;High;Unknown;x
91005;Minister of Security;Ahmed Akbat;2003;2050;2050;PA;Crime Fighter;High;Unknown;x
91006;Head of Military Intelligence;Hussein Dhaifallah al-Awadhi;2003;2050;2050;PA;Logistics Specialist;High;Unknown;x
91007;Chief of Staff;Abdullah Ali Alewa;2003;2050;2050;PA;School of Manoeuvre;High;Unknown;x
91008;Chief of Army;Ali Mohammed al-Qassimi;2003;2050;2050;PA;Decisive Battle Doctrine;High;Unknown;x
91009;Chief of Navy;Unknown;2003;2050;2050;PA;Decisive Naval Battle Doctrine;High;Unknown;x
91010;Chief of Air Force;Unknown;2003;2050;2050;PA;Air Superiority Doctrine;High;Unknown;x
;Replacements;;;;;;;x
