AFG;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
100;Kabul Military Training Center;T100;5;1990;2100;individual_courage;training;mechanics;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
101;Roshan Telecom;T101;4;1990;2100;management;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
102;Bagram Air Base;T102;5;1990;2100;aeronautics;piloting;electronics;technical_efficiency;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
103;Afghan National Training Center;T103;5;1990;2100;small_unit_tactics;large_unit_tactics;individual_courage;decentralized_execution;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
104;Foreign Aid;T104;6;1990;2100;management;general_equipment;electronics;mechanics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
105;Afghan Minerals Inc.;T105;3;1990;2100;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
106;Ghazanfar General Trading;T_Unknown;2;2000;2100;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
107;Azizi Hotak Group;T_Unknown;4;2000;2100;chemistry;industrial_engineering;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
108;Kabul Felez International;T_Unknown;4;2000;2100;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
109;U.S. Agency for International Development;T_Unknown;6;2000;2010;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
110;Wali Rasool Ltd;T_Unknown;3;2000;2100;mechanics;general_equipment;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
111;Novel Afghanistan Ltd;T_Unknown;5;2005;2100;industrial_engineering;general_equipment;mechanics;technical_efficiency;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
112;Kam Air;T_Unknown;3;2000;2100;aeronautics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
113;Afghan Police Forces;T_Unknown;4;2000;2100;general_equipment;artillery;small_unit_tactics;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
