ETH;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
6500;National Military Academy;ethmilac;2;1000;2999;combined_arms_focus;infantry_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6501;National Security and Intelligence;ethintel;2;1000;2999;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6502;Yencomad;yencomad;2;1000;2999;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6503;Ethiopian Army;atharmy;2;1000;2999;training;large_unit_tactics;large_unit_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6504;General Command;ethgencom;2;1000;2999;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6505;Logistics Corps;ethlogistics;2;1000;2999;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6506;Ethiopian Air Force;ethairforce;2;1000;2999;fighter_tactics;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6507;DAVEX;davex;2;1000;2999;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6508;Gafat Armament;gafat;3;1000;2999;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6509;Bishoftu Complex;bishoftu;2;1000;2999;artillery;mechanics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
