PAK;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
12500;Pakistan Military Academy;pmacademy;5;1000;2999;combined_arms_focus;infantry_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12501;Heavy Industries Taxila;Taxila;7;1000;2999;mechanics;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12502;ISI;isipak;8;1000;2999;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12503;Ghandhara Industries;Ghandhara;5;1000;2999;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12504;East West Infinity;eastwestinf;6;1000;2999;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12505;NESCOM;nescompak;6;1000;2999;electronics;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12506;Pakistan Aeronautical Complex;pakaero;7;1000;2999;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12507;Integrated Defence Systems;intdefsys;6;1000;2999;management;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12508;Kahuta Labs;Kahuta;4;1000;2999;nuclear_physics;nuclear_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12509;Pakistani Army;Pakistan Army;5;1000;2999;training;large_unit_tactics;small_unit_tactics;large_unit_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12510;General Staff;pakgstaff;5;1000;2999;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12511;Supply and Transport Corps;ukrlogistics;5;1000;2999;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12512;Pakistani Air Force;Pakistan Air Force;5;1000;2999;fighter_tactics;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12513;Pakistani Navy;Pakistan Navy;5;1000;2999;seamanship;naval_training;large_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12514;Pakistani Naval Aviation;paknavair;5;1000;2999;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12515;Pakistan Ordnance Factories;Pofactories;6;1000;2999;general_equipment;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
