PER;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
7600;Tehran Military Academy;Tehran Military Academy;5;1000;2999;combined_arms_focus;infantry_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7601;Defense Industries Organization;DIO;6;1000;2999;general_equipment;mechanics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7602;Shahid Kolah Dooz Complex;Shahid Kolah Dooz;5;1000;2999;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7603;PANHA;PANHA;6;1000;2999;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7604;HESA;HESA;6;1000;2999;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7605;VEVAK;VEVAK;6;1000;2999;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7606;Compress Industrial Group;Compress;5;1000;2999;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7607;Mobarakeh Steel;Mobarakeh;5;1000;2999;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7608;Iran Electronics Industries;IEI;4;1000;2999;management;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7609;Qods Aeronautics;Qods Aeronautics;5;1000;2999;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7610;Iranian Space Agency;ISA;5;1000;2999;electronics;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7611;Atomic Energy Organization;per Atomic Energy;4;1000;2999;nuclear_physics;nuclear_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7612;Iranian Army;Iranian Army;5;1000;2999;training;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7613;Islamic Revolutionary Guards;IRGC;6;1000;2999;decentralized_execution;small_unit_tactics;large_unit_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7614;General Command HQ;General Command HQ;5;1000;2999;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7615;Armed Forces Logistics;Armed Forces Logistics;5;1000;2999;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7616;Iranian Air Force;iranianairforce;5;1000;2999;fighter_tactics;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7617;State Shipbuilding Industry;SSI;3;1000;2999;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7618;Iranian Navy;Iranian Navy;3;1000;2999;large_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
