SPA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
15200;Zaragoza Military Academy;zaragoza;7;1000;2999;combined_arms_focus;infantry_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15201;CETME;CETME;7;1000;2999;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15202;Santa Barbara Sistemas;santasistemas;7;1000;2999;mechanics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15203;CASA;casaspa;6;1000;2999;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15204;CNI;spaincni;7;1000;2999;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15205;Inmize;inmizespa;7;1000;2999;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15206;Acerinox;acerinox;7;1000;2999;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15207;Grupo Technobit;tecnobit;7;1000;2999;chemistry;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15208;Spanish Army;spainarmy;7;1000;2999;training;large_unit_tactics;small_unit_tactics;large_unit_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15209;Navy Marines;spainmarines;8;1000;2999;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15210;General Staff;spainarmy;7;1000;2999;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15211;Logistics Command;spainlogistic;7;1000;2999;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15212;Spanish Air Force;spainairforce;7;1000;2999;fighter_tactics;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15213;Naval Air Arm;spainnavyair;8;1000;2999;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15214;Spanish Navy;spainnavy;7;1000;2999;naval_training;seamanship;large_taskforce_tactics;carrier_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15215;Navantia;navantia;7;1000;2999;naval_engineering;naval_artillery;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
