MODIFIER;INF;CAV;MOT;MECH;L ARM;ARM;PARA;MAR;MTN;GARR;HQ;MIL;MR F;INT F;STR B;TAC B;NAV B;CAS;TRA P;FL B;FL R;BB;CL;CA;BC;DD;CV;CVL;SUB;NSUB;TRA;X
ATT_CLEAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
ATT_BLIZZARD;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;0;0;-80;-80;-80;-80;-80;-100;-100;-50;-80;-80;X
ATT_SNOW;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-20;-30;-30;-30;-30;-30;-30;-30;0;0;-25;-25;-25;-25;-25;-80;-80;-10;-10;-25;X
ATT_FROZEN;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
ATT_RAIN;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-20;-30;-30;-30;-30;-30;-30;-30;0;0;-10;-10;-10;-10;-10;-50;-50;-5;-5;-10;X
ATT_STORM;-60;-60;-60;-60;-60;-60;-60;-60;-60;-60;-60;-70;-70;-70;-70;-70;-70;-70;-70;0;0;-50;-50;-50;-50;-50;-100;-100;-10;-50;-50;X
ATT_MUDDY;-60;-60;-60;-60;-60;-60;-60;-60;-60;-60;-60;-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
ATT_NIGHT;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-30;-50;-50;-60;-30;0;0;-40;-40;-40;-40;-40;-40;-40;15;15;-40;X
ATT_PLAIN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
ATT_DESERT;-20;-20;-30;-30;-20;-20;-30;-30;-20;-30;-30;-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
ATT_MOUNTAIN;-80;-80;-80;-80;-80;-80;-80;-80;-60;-80;-80;-40;-30;-30;-30;-30;-30;-30;-30;-30;-30;0;0;0;0;0;0;0;0;0;0;X
ATT_HILL;-33;-33;-33;-33;-33;-33;-25;-25;0;-25;-25;0;-10;-10;-10;-10;-10;-10;-10;-10;-10;0;0;0;0;0;0;0;0;0;0;X
ATT_FOREST;-20;-20;-20;-20;-20;-20;0;0;0;-10;-10;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;0;0;0;0;0;0;0;0;0;0;X
ATT_JUNGLE;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;0;0;0;0;0;0;0;0;0;0;X
